kepid,koi_period,koi_prad,koi_steff
8478994,13.3669309,0.27,5417.0
6444896,8.68910764,0.49,2703.0
6278762,3.60011712,0.5,5051.0
10187017,5.28691996,0.51,4900.0
6444896,19.5352551,0.53,2703.0
9002278,12.4418003,0.57,4926.0
7603200,10.31282204,0.59,3846.0
10063208,9.3281912,0.59,5525.0
7826620,0.849906734,0.59,4296.0
6697756,0.916142298,0.6,4374.0
6278762,7.74347801,0.62,5051.0
10187017,7.07136119,0.63,4900.0
9334893,31.8055128,0.63,4729.0
10397751,2.005414293,0.65,5374.0
6278762,4.54586982,0.65,5051.0
6278762,6.18943952,0.65,5051.0
8561063,1.865114193,0.66,3292.0
4991208,2.44358543,0.67,5561.0
8280511,5.24970432,0.67,5528.0
10337517,4.29263699,0.68,5357.0
7935997,3.87594316,0.68,5713.0
10963065,2.465024332,0.69,6139.0
8081899,4.16056658,0.7,5481.0
10397751,3.4462125,0.7,5374.0
10471515,3.7847507,0.7,6017.0
11127479,2.12821621,0.7,5952.0
7100673,2.89223998,0.7,5574.0
8478994,21.30181863,0.72,5437.0
7582689,8.70312154,0.72,6006.0
7455981,14.4540329,0.72,5559.0
5959719,6.73808701,0.73,5168.0
7582689,6.80257947,0.73,6006.0
10552611,3.10762684,0.73,4908.0
4548011,6.28384079,0.73,5888.0
8351704,7.09712124,0.74,3569.0
10905911,1.34155642,0.74,5779.0
12505503,3.4327371,0.75,5757.0
8804845,0.762132307,0.75,5594.0
8561063,0.453287416,0.76,3292.0
7259298,3.23941775,0.77,6075.0
8753657,4.62334491,0.77,5678.0
8561063,1.213770423,0.78,3292.0
11135308,1.877878538,0.78,6324.0
9885417,0.689967868,0.78,4872.0
8395660,6.164876,0.79,5854.0
9412760,7.41556471,0.79,4500.0
12301181,6.14728341,0.79,4997.0
7802719,4.45743267,0.79,4487.0
3426367,2.10433534,0.79,3605.0
6607644,0.971915957,0.79,5196.0
9718066,28.9060526,0.79,4657.0
5868793,4.83809469,0.79,3187.0
6368175,21.1876185,0.79,6355.0
10777591,6.10968225,0.79,6024.0
10489206,5.77440326,0.8,3808.0
3545135,8.48299282,0.8,5827.0
10000941,3.50472344,0.8,5115.0
5959719,13.0600399,0.8,5168.0
8424002,20.35971899,0.8,3419.0
6368175,31.8245304,0.8,6338.0
10525027,3.27344784,0.81,3758.0
6607357,4.77466043,0.81,5727.0
10722485,7.84931877,0.81,5678.0
9763612,16.0505464,0.81,5428.0
7215603,2.36436762,0.82,6250.0
9873254,0.900375925,0.82,5676.0
5340878,0.539915033,0.82,5102.0
9473078,0.693842661,0.83,5457.0
11361646,1.88899036,0.83,5973.0
5695396,25.5172744,0.83,5680.0
7100673,3.95116635,0.83,5574.0
6616218,2.46106962,0.84,5418.0
9693006,2.88878583,0.84,5696.0
6850504,6.09855603,0.84,5465.0
2831055,2.20923119,0.84,5991.0
7838675,1.005205893,0.85,5718.0
10057494,2.41810158,0.85,6258.0
7100673,5.10110666,0.85,5574.0
8229458,1.646801683,0.86,3810.0
9950612,4.159816554,0.86,4499.0
3632089,5.32784157,0.86,5638.0
7871954,1.937029968,0.87,4042.0
7609553,2.279523364,0.87,5017.0
7582689,11.9216035,0.87,6006.0
7132798,4.12511935,0.88,5598.0
8544992,3.17323012,0.88,4500.0
11461433,1.916940872,0.89,5083.0
4138951,1.291233083,0.89,6384.0
9995402,3.57551429,0.89,5213.0
6937529,2.94648935,0.89,6481.0
8278371,0.677374687,0.9,5718.0
11403530,3.61460332,0.9,5799.0
8751796,4.45342418,0.9,6256.0
6850504,19.5776073,0.9,5465.0
9950612,28.1224393,0.9,4499.0
7610663,3.03196812,0.9,5755.0
7907423,3.306551643,0.91,3561.0
7269493,1.907810683,0.91,5435.0
8544992,13.2970695,0.91,4500.0
11295426,9.60505976,0.91,5790.0
11019987,6.9131732,0.91,6296.0
5980208,0.789160884,0.91,4258.0
8558011,0.638162933,0.91,5244.0
7100673,5.99273265,0.91,5574.0
9489524,10.05550267,0.92,5208.0
9006186,5.45298742,0.92,5450.0
10916600,5.57654782,0.92,6187.0
9730163,2.984157711,0.92,3157.0
6607357,7.69994466,0.92,5727.0
7515212,16.2580276,0.92,5867.0
11760860,2.41660149,0.92,5705.0
7691260,3.989544192,0.93,5229.0
6035124,3.85690686,0.93,5272.0
9717943,6.11010439,0.93,6213.0
9221517,0.769854899,0.93,5173.0
10591855,1.574090323,0.93,4313.0
8573193,8.18504859,0.93,5984.0
8280511,7.41084314,0.94,5528.0
9883606,4.34195312,0.94,6164.0
9216775,3.91794676,0.94,5500.0
7673841,5.34182466,0.95,5767.0
10187017,27.4536146,0.95,4900.0
12068975,25.2100146,0.95,6003.0
6278762,9.74048508,0.95,5051.0
7350067,4.48559215,0.95,3236.0
7595157,2.358952404,0.96,5300.0
12314973,7.5143967,0.96,6206.0
4056616,2.41434868,0.97,4507.0
8277797,1.653889476,0.97,5390.0
10531955,2.344512589,0.97,5821.0
9714550,4.73292061,0.97,5595.0
8120608,3.886795001,0.97,3751.0
7046035,2.27164952,0.97,6274.0
6497146,35.2330694,0.97,3749.0
8247771,1.118547814,0.98,4496.0
9718066,16.09227518,0.98,4657.0
8212002,14.7966306,0.98,6175.0
5652893,14.00948631,0.98,5153.0
12154526,3.18899015,0.98,5700.0
10027323,5.92365747,0.99,3883.0
8235924,0.588001053,0.99,3814.0
5185897,11.41941928,0.99,4498.0
3244792,3.0570982,0.99,6021.0
4164922,1.210693626,0.99,5014.0
10925104,5.188563677,1.0,3980.0
7304449,1.538180949,1.0,3364.0
8890150,7.05429483,1.0,3765.0
9209624,11.8376933,1.0,5772.0
5185897,4.081411554,1.0,4498.0
4563268,4.16536757,1.0,5604.0
10730070,7.61758198,1.0,6202.0
11253711,1.226223959,1.0,5855.0
11125797,12.25384348,1.0,5413.0
6037581,2.0248205,1.01,5865.0
11403339,4.79029482,1.01,5412.0
9209624,6.79164656,1.01,5772.0
5185897,6.83440674,1.01,4498.0
5445681,20.3504704,1.01,5952.0
8609450,9.2207691,1.02,5600.0
10064256,5.95958637,1.02,5452.0
5088536,8.45744892,1.02,5903.0
11090556,2.7881793,1.02,5758.0
6975129,1.772451066,1.02,6243.0
7676423,2.46050095,1.03,4811.0
8167996,5.21230171,1.04,3716.0
12454461,7.46718958,1.04,6161.0
10328393,15.99560373,1.04,4955.0
12405333,0.764863517,1.04,5231.0
6382217,5.79529495,1.05,3757.0
11811193,6.11784972,1.05,6226.0
6265792,0.935115863,1.05,5874.0
10669994,2.71603664,1.05,6011.0
10875245,7.95825328,1.06,5847.0
11288051,3.41045981,1.06,4983.0
11509504,2.61576515,1.06,6088.0
9412623,6.1082945,1.06,6720.0
10657406,1.682934607,1.06,5201.0
11497958,34.1420506,1.06,3526.0
4365645,4.16787814,1.07,5251.0
7673841,10.42317343,1.07,5767.0
8417078,23.6223571,1.07,6144.0
8226994,4.14810719,1.08,5029.0
8628758,9.65188331,1.08,5768.0
7019524,5.30873978,1.08,5914.0
8895758,0.968980781,1.08,5866.0
6599975,14.5565618,1.08,6065.0
6364582,30.8609783,1.08,5627.0
5371776,1.499144441,1.09,4723.0
9821454,11.8693144,1.09,6296.0
5350244,12.5722897,1.09,6084.0
8073705,10.60052083,1.09,6035.0
8311864,384.847556,1.09,5579.0
8609450,13.6396648,1.1,5600.0
12159249,3.74443645,1.1,5876.0
11601584,34.205785079,1.1,5191.0
3955817,4.24263096,1.1,5072.0
7907423,15.36845737,1.11,3561.0
9955598,68.958447,1.11,5455.0
8167996,2.549562652,1.11,3716.0
3734418,3.97599629,1.11,5143.0
6964929,0.665025941,1.11,5884.0
3239945,21.803708,1.11,4799.0
12116489,12.3860474,1.11,5121.0
4741126,7.63846084,1.12,6119.0
9573685,5.94565516,1.12,3974.0
7033233,2.032318856,1.12,4670.0
8883329,14.6134781,1.12,6194.0
9070666,2.99792926,1.12,5888.0
11600889,0.669310092,1.13,5475.0
9880190,4.5513988,1.13,5009.0
5546691,12.9462567,1.13,6058.0
5106313,3.89524296,1.13,5018.0
11090556,4.13827684,1.13,5758.0
8008206,1.632916419,1.13,4979.0
6060203,1.022678654,1.14,5366.0
11497958,10.8644095,1.14,3526.0
4144576,0.813166357,1.14,5237.0
6021193,3.61460279,1.14,5711.0
8890150,34.9897847,1.14,3765.0
8120608,7.26731094,1.14,3751.0
11612280,9.4061364,1.14,5855.0
6265665,44.2018402,1.14,5002.0
11601584,4.38536428,1.15,5191.0
9353314,5.18498961,1.15,4325.0
10130039,5.47033376,1.15,5782.0
8681833,1.311558909,1.15,5926.0
9146018,6.47027706,1.15,5475.0
8120608,22.40777833,1.15,3751.0
4736644,16.2951259,1.15,4915.0
10328393,34.2115022,1.15,4955.0
10984090,3.709214104,1.16,5833.0
7907423,7.11373257,1.16,3561.0
3444588,0.928310036,1.16,4109.0
6362874,0.974868896,1.16,5487.0
4278221,1.340596782,1.16,5992.0
11764462,5.69919592,1.16,5646.0
5706966,24.0884178,1.16,4213.0
11774991,53.5783052,1.16,4856.0
5384079,17.2653659,1.16,6388.0
1865042,3.4815917,1.17,5405.0
8505670,6.66833241,1.18,4201.0
11493431,2.343230566,1.18,4798.0
8750043,2.29503515,1.18,5637.0
7747425,5.19559398,1.18,5616.0
3342794,4.92031063,1.18,5845.0
9008737,11.8288843,1.18,5653.0
6289257,5.21104597,1.18,6023.0
10905239,6.02977241,1.18,5576.0
9950612,45.9029768,1.18,4499.0
8120608,129.945392,1.18,3751.0
11497958,63.3354719,1.18,3526.0
9892816,1.644221032,1.18,6297.0
8950568,25.2149143,1.19,5435.0
10468885,0.664074145,1.19,5178.0
10813132,4.76702759,1.19,5629.0
4852528,0.986785834,1.19,4041.0
5689351,3.25058201,1.19,5001.0
5177859,6.98472143,1.19,5839.0
5371777,0.991659646,1.19,6117.0
4139816,7.82502168,1.2,3950.0
10858691,1.796320953,1.2,5576.0
10975146,0.63133171,1.2,4441.0
11121752,3.93083997,1.2,6038.0
6842682,7.56126152,1.2,5853.0
4473613,4.36125889,1.2,5520.0
7295235,3.179267286,1.21,5511.0
10730034,6.18670882,1.21,5114.0
10328393,7.62635494,1.21,4955.0
11774991,37.8154157,1.21,4856.0
6605493,9.30991834,1.21,5806.0
9757613,3.543919702,1.21,3879.0
8947520,0.968527683,1.21,5580.0
7673192,4.02877097,1.21,6052.0
7428736,7.06321927,1.21,5305.0
6263593,22.4765952,1.21,4563.0
11455181,10.9294815,1.21,5792.0
5351250,3.42806306,1.21,5559.0
8480285,16.2254975,1.21,5956.0
8962094,14.6672293,1.21,5677.0
10526887,1.450889836,1.21,6046.0
9009036,6.76289308,1.21,6547.0
8280511,10.43547031,1.22,5528.0
8230616,2.240486703,1.22,4198.0
6047072,4.27103727,1.22,5984.0
9825174,0.740926358,1.22,5618.0
