                                                                                                                                                                                    Proper Motion   Radial
                                                Spectral                                            Parallax        Distance        R.A.            Dec.            R.A.            Dec.            Velocity
Name                                HIP         Class           V           M_V         B-V         (arcsec)        (pc)            (h m s)         (deg m s)       (arcsec/yr)     (arcsec/yr)     (km/s)
Proxima Centauri (alpha Cen C)       70890      M5Ve            11.01       15.45       +1.81       0.77233         1.29            14 29 42.95     -62 40 46.1     -3.77564          0.76816        -33.4
alpha Cen B                          71681      K1V              1.35        5.70       +0.88       0.74212         1.35            14 39 35.08     -60 50 13.8     -3.60035          0.95211        -23.4
alpha Cen A                          71683      G2V             -0.01        4.34       +0.71       0.74212         1.35            14 39 36.50     -60 50 02.3     -3.67819          0.48184        -23.4
Barnard's Star                       87937      M5V              9.54       13.24       +1.57       0.54901         1.82            17 57 48.50     +04 41 36.2     -0.79784         10.32693       -112.3
Gl 411                               54035      M2Ve             7.49       10.46       +1.50       0.39240         2.55            11 03 20.19     +35 58 11.6     -0.58020         -4.76709        -85.
Sirius A (alpha CMa)                 32349      A1V             -1.44        1.45       +0.01       0.37921         2.64            06 45 08.92     -16 41 58.0     -0.54601         -1.22308         -7.7
Sirius B (alpha CMa)                            wd (DA)          8.44       11.33       -0.03       0.37921         2.64
Gl 729                               92403      M4.5Ve          10.37       13.00       +1.51       0.33648         2.97            18 49 49.36     -23 50 10.4      0.63755         -0.19247         -7.0
epsilon Eri                          16537      K2V              3.72        6.18       +0.88       0.31075         3.22            03 32 55.84     -09 27 29.7     -0.97644          0.01797         13.
Gl 887                              114046      M2Ve             7.35        9.76       +1.48       0.30390         3.29            23 05 52.04     -35 51 11.1      6.76726          1.32666         -6.4
Ross 128 (Gl 447)                    57548      M4.5V           11.12       13.50       +1.75       0.29958         3.34            11 47 44.40     +00 48 16.4      0.60562         -1.21923        -31.
6l Cyg A (Gl 820)                   104214      K5Ve             5.20        7.49       +1.07       0.28713         3.48            21 06 53.94     +38 44 57.9      4.15510          3.25890        -65.
Procyon A (alpha CMi)                37279      F5IV-V           0.40        2.68       +0.43       0.28593         3.50            07 39 18.12     +05 13 30.0     -0.71657         -1.03458         -3.2
Procyon B (alpha CMi)                           wd              10.7        13.0        +0.00       0.28593         3.50
61 Cyg B (Gl 820B)                  104217      K7Ve             6.05        8.33       +1.31       0.28542         3.50            21 06 55.26     +38 44 31.4      4.10740          3.14372        -65.
Gl 725B                              91772      M5V              9.70       11.97       +1.56       0.28448         3.52            18 42 46.90     +59 37 36.6     -1.39320          1.84573          1.
Gl 725A                              91768      M4V              8.94       11.18       +1.50       0.28028         3.57            18 42 46.69     +59 37 49.4     -1.32688          1.80212          1.
GX And                                1475      M2V              8.09       10.33       +1.56       0.28027         3.57            00 18 22.89     +44 01 22.6      2.88892          0.41058         13.5
epsilon Ind                         108870      K5Ve             4.69        6.89       +1.06       0.27576         3.63            22 03 21.66     -56 47 09.5      3.95997         -2.53884        -40.4
tau Cet                               8102      G8Vp             3.49        5.68       +0.73       0.27417         3.65            01 44 04.08     -15 56 14.9     -1.72182          0.85407        -16.4
Gl 54.1                               5643      M5.5Ve          12.10       14.25       +1.85       0.26905         3.72            01 12 30.64     -16 59 56.3      1.21009          0.64695         37.0
Luyten's Star (Gl 237)               36208      M3.5             9.84       11.94       +1.57       0.26326         3.80            07 27 24.50     +05 13 32.8      0.57127         -3.69425         18.
Kapteyn's Star                       24186      M0V              8.86       10.89       +1.55       0.25526         3.92            05 11 40.58     -45 01 06.3      6.50605         -5.73139        242.8
AX Mic                              105090      M0Ve             6.69        8.71       +1.40       0.25337         3.95            21 17 15.27     -38 52 02.5     -3.25900         -1.14699         23
Kruger 60                           110893      M2V              9.59       11.58       +1.61       0.24952         4.01            22 27 59.47     +57 41 45.1     -0.87023         -0.47110         -4.
Ross 614 (Gl 234A)                   30920      M4.5Ve          11.12       13.05       +1.69       0.24289         4.12            06 29 23.40     -02 48 50.3      0.69473         -0.61862         23.2
