,Designation,Abs Mag,Slope Param,Epoch,Mean anom (deg),Argument of Perihelion (deg),Longitude of Ascending Node (deg),Inclination to Ecliptic (deg),Eccentricity,Mean daily motion (deg/day),Semimajor Axis (AU),Reference,N observation,N oppositions,Readable Designation,Date of last observation
0,01566,16.5,0.15,K232P,352.54819,31.44177,87.95165,22.79955,0.8268694,0.88043904,1.0781268,MPO719076,1330,39,(1566) Icarus,2022-08-01
1,01620,15.32,0.15,K232P,224.05341,276.96118,337.17213,13.33636,0.3355349,0.70892138,1.2456729,E2023-C50,5375,40,(1620) Geographos,2023-02-07
2,01862,16.11,0.09,K232P,281.2475,286.0551,35.56144,6.35319,0.5598742,0.55263363,1.4706563,E2023-C29,2204,34,(1862) Apollo,2023-02-01
3,01981,15.28,0.15,K232P,9.03147,267.81921,356.85489,39.8299,0.6499887,0.41622302,1.7765823,MPO691531,1052,25,(1981) Midas,2021-10-20
4,02101,18.72,0.15,K232P,0.32752,43.63171,349.47384,1.3217,0.7643457,0.38424878,1.8738193,MPO727488,134,11,(2101) Adonis,2020-06-09
5,02102,15.97,0.15,K232P,34.6545,61.52961,94.35419,64.00086,0.2992845,0.67263262,1.2900823,MPO727488,1424,22,(2102) Tantalus,2022-12-23
6,02135,18.05,0.15,K232P,270.06609,290.97128,191.12407,23.07184,0.5029492,0.48710484,1.5997585,MPO691534,61,12,(2135) Aristaeus,2020-05-30
7,02201,15.35,0.15,K232P,150.40177,98.38168,74.90865,2.52162,0.7121354,0.30692099,2.1766319,MPO727489,1165,33,(2201) Oljato,2022-10-02
8,02340,20.32,0.15,K232P,10.46038,40.08603,211.30562,5.86045,0.4498838,1.27162753,0.8437804,MPO727492,555,12,(2340) Hathor,2021-12-05
9,03122,13.88,0.15,K232P,109.36832,27.86725,336.06372,22.14385,0.4232166,0.41894658,1.7688742,E2023-C46,5190,28,(3122) Florence,2023-02-03
10,03200,14.39,0.15,K232P,196.50612,322.21663,265.17234,22.27354,0.8898954,0.68755987,1.2713419,MPO727506,6706,40,(3200) Phaethon,2023-01-25
11,03361,19.39,0.15,K232P,300.44587,302.35683,188.67849,2.66207,0.3228838,0.74008611,1.2104529,MPO691557,1122,18,(3361) Orpheus,2022-02-10
12,03362,18.52,0.15,K232P,119.11471,55.04991,152.42407,9.91735,0.4685756,1.00128865,0.989532,MPO691557,247,18,(3362) Khufu,2004-11-27
13,03671,16.6,0.15,K232P,310.23951,204.29617,82.06605,13.52593,0.5410279,0.30217759,2.199351,E2023-C29,721,18,(3671) Dionysus,2023-02-02
14,03757,19.05,0.15,K232P,55.76179,17.22338,74.92871,3.86613,0.4455608,0.3965465,1.8348757,MPO691564,148,9,(3757) Anagolay,2019-09-19
15,04015,16.2,0.15,K232P,42.7335,95.44558,266.77269,2.79919,0.6316588,0.23181505,2.6244701,E2023-C50,1556,23,(4015) Wilson-Harrington,2023-01-31
16,04034,18.52,0.15,K232P,78.20649,296.70044,157.90214,11.16836,0.443959,0.9036125,1.0596145,MPO719118,648,19,(4034) Vishnu,2022-08-15
17,04179,15.32,0.15,K232P,193.9976,277.89239,125.30479,0.44826,0.624609,0.24283543,2.5444544,MPO691572,6496,29,(4179) Toutatis,2022-04-10
18,04183,14.18,0.15,K232P,323.78398,237.0387,294.35251,6.66874,0.6360161,0.35344406,1.9811724,E2023-C43,3212,31,(4183) Cuno,2023-02-03
19,04450,17.27,0.15,K232P,210.7937,291.83776,311.77429,5.52021,0.5866946,0.56912264,1.4421114,MPO727526,1329,25,(4450) Pan,2022-12-24
20,04486,15.64,0.15,K232P,336.11365,168.88571,82.23868,3.03821,0.6624579,0.30197071,2.2003554,E2023-C40,1018,27,(4486) Mithra,2023-02-04
21,04581,20.74,0.15,K232P,0.25165,255.3625,180.20591,4.91783,0.3569237,0.95306773,1.0226339,MPO727528,411,13,(4581) Asclepius,2021-04-18
22,04660,18.65,0.15,K232P,225.21521,159.52129,313.13803,1.45374,0.3587754,0.54463328,1.4850233,MPO727529,2735,18,(4660) Nereus,2022-05-31
23,04769,17.53,0.15,K232P,144.61697,121.41009,325.53115,8.88544,0.4830927,0.89901759,1.0632219,E2022-N78,295,16,(4769) Castalia,2022-07-10
24,04953,14.86,0.15,K232P,358.5072,77.94796,77.53406,24.3776,0.6574222,0.47738004,1.6214114,MPO727533,1380,29,(4953) 1990 MU,2023-01-21
25,05011,16.71,0.15,K232P,251.07603,105.94524,10.64182,7.41033,0.5000979,0.47105108,1.6359024,MPO691588,619,22,(5011) Ptah,2021-07-20
26,05189,17.85,0.15,K232P,311.67811,159.95166,135.0698,3.57878,0.4779891,0.509832,1.5518557,MPO727537,1477,21,(5189) 1990 UQ,2023-01-26
27,05604,17.38,0.15,K232P,329.06718,82.66076,311.89975,4.71508,0.4061047,1.10144229,0.928599,MPO727543,951,18,(5604) 1992 FE,2020-03-24
28,05693,16.78,0.15,K232P,150.23458,258.96892,96.98845,5.05875,0.5852164,0.68815372,1.2706104,E2023-C34,2320,27,(5693) 1993 EA,2023-02-03
29,06037,19.0,0.15,K232P,197.20719,242.18352,182.36253,3.5003,0.4996272,0.68769043,1.271181,MPO691607,564,17,(6037) 1988 EG,2021-06-09
30,06239,18.57,0.15,K232P,105.6431,239.70404,344.57059,3.9414,0.4125986,0.79804251,1.151115,MPO691611,1164,16,(6239) Minos,2021-01-10
31,06489,19.22,0.15,K232P,1.14016,68.67207,209.47384,2.2659,0.6123442,0.25156359,2.4852545,MPO691616,935,7,(6489) Golevka,2015-11-03
32,06491,18.74,0.15,K232P,353.53274,323.63983,301.89126,5.94545,0.5903401,0.24915637,2.5012363,MPO691616,186,9,(6491) 1991 OA,2019-10-08
33,07335,17.7,0.15,K232P,98.36375,232.30283,61.28009,15.17424,0.4846205,0.41791586,1.7717814,MPO727569,2420,16,(7335) 1989 JA,2022-12-26
34,07341,16.96,0.15,K232P,161.15932,173.49381,294.73674,5.40904,0.5059792,0.39451591,1.8411664,MPO719172,2269,19,(7341) 1991 VK,2022-06-07
35,07482,16.65,0.15,K232P,228.97651,47.49245,117.86486,33.46613,0.3293934,0.62923953,1.3487311,MPO710656,1389,17,(7482) 1994 PC1,2022-07-28
36,07753,18.02,0.15,K232P,123.098,280.07023,73.39311,3.12462,0.4816469,0.55467122,1.4670524,E2023-C29,1245,21,(7753) 1988 XB,2023-02-02
37,07822,17.3,0.15,K232P,45.24578,249.4351,156.84795,37.12298,0.164612,0.82850909,1.1227193,MPO719180,1827,8,(7822) 1991 CS,2022-07-08
38,08014,18.88,0.15,K232P,35.32727,114.75895,209.84389,1.86742,0.456184,0.42679686,1.7471167,MPO691641,1221,11,(8014) 1990 MF,2022-04-02
39,08566,16.32,0.15,K232P,130.21784,125.14211,164.11996,37.97785,0.4303135,0.53315992,1.5062523,MPO727586,1670,21,(8566) 1996 EN,2022-12-20
40,09856,17.05,0.15,K232P,138.3856,116.21338,168.1034,9.83014,0.6258706,0.29361334,2.2419135,MPO727605,811,15,(9856) 1991 EE,2023-01-22
41,10115,17.16,0.15,K232P,20.65989,233.6449,8.90158,15.32109,0.3247825,0.70659367,1.2484071,MPO691680,1492,17,(10115) 1992 SK,2021-04-13
42,11500,18.37,0.15,K232P,156.60142,289.51438,234.39706,10.30954,0.355909,0.8783916,1.0798015,MPO691707,1169,15,(11500) Tomaiyowit,2019-08-18
43,12538,15.88,0.15,K232P,8.06643,321.79496,220.69583,24.53847,0.4062682,0.51497141,1.5415134,MPO727642,2759,16,(12538) 1998 OH,2023-01-04
44,12923,15.82,0.15,K232P,196.50316,147.11109,168.18418,5.30525,0.4919827,0.35850724,1.9624748,E2023-BL1,2450,19,(12923) Zephyr,2023-01-29
45,13651,17.89,0.15,K232P,239.5307,133.80412,116.65269,17.24785,0.3057094,0.63860918,1.3355063,MPO727657,1003,14,(13651) 1997 BR,2023-01-23
46,14827,18.87,0.15,K232P,258.27825,238.1797,57.93562,1.97948,0.6654617,0.20556915,2.8433528,MPO691769,168,6,(14827) Hypnos,2019-04-03
47,16960,14.42,0.15,K232P,127.43273,243.24944,260.16509,17.51728,0.8589415,0.30195427,2.2004353,MPO719320,1983,24,(16960) 1998 QS52,2022-08-23
48,20425,20.51,0.15,K232P,90.52294,296.3152,227.26336,6.98829,0.4768516,0.50373514,1.5643523,MPO691875,50,4,(20425) 1998 VD35,2005-07-29
