# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 23 11:19:13 2022
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,sy_dist
1,11 Com b,11 Com,1,2,1,Radial Velocity,2007,326.03000000,1.290000,,,6165.60000,19.40000,Msini,0.231000,,0,4742.00,19.00,2.70,93.1846000
4,11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,516.21997000,1.530000,,,4684.81420,14.74000,Msini,0.080000,,0,4213.00,29.79,2.78,125.3210000
7,14 And b,14 And,1,1,1,Radial Velocity,2008,185.84000000,0.830000,,,1525.50000,4.80000,Msini,0.000000,,0,4813.00,11.00,2.20,75.4392000
13,14 Her b,14 Her,1,1,2,Radial Velocity,2002,1773.40002000,2.930000,,,1481.08780,4.66000,Msini,0.370000,,0,5338.00,0.93,0.90,17.9323000
16,16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,798.50000000,1.660000,,,565.73740,1.78000,Msini,0.680000,,0,5750.00,1.13,1.08,21.1397000
21,17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,578.38000000,1.450000,,,1373.01872,4.32000,Msini,0.060000,,0,4157.00,25.92,1.22,124.9530000
22,18 Del b,18 Del,1,2,1,Radial Velocity,2008,993.30000000,2.600000,,,3273.50000,10.30000,Msini,0.080000,,0,4979.00,8.50,2.30,76.2220000
25,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,,330.000000,,,3000.00000,8.00000,Mass,,1700,0,4060.00,,0.85,139.1350000
28,24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,30.35060000,0.190000,,,289.22530,0.91000,Msini,0.042000,,0,4893.00,10.64,0.99,95.9863000
29,24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,452.80000000,1.333000,,,632.46000,1.99000,Msini,0.090000,,0,5098.00,4.90,1.54,72.0691000
30,24 Sex c,24 Sex,1,1,2,Radial Velocity,2010,883.00000000,2.080000,,,273.32000,0.86000,Msini,0.290000,,0,5098.00,4.90,1.54,72.0691000
31,2M0437 b,2MASS J04372171+2651014,1,1,1,Imaging,2021,,118.000000,,,1271.31363,4.00000,Mass,,1450,0,3100.00,0.84,0.17,128.4840000
32,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,2,1,Imaging,2013,,84.000000,,,4131.79000,13.00000,Mass,,,0,,,0.19,
34,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,1,Imaging,2013,,52.000000,,,7786.50000,24.50000,Mass,,,0,3530.00,,0.40,33.8281000
35,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Imaging,2015,,156.000000,16.141,1.440,4417.83700,13.90000,Mass,,,0,3064.00,0.28,0.11,
