NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MASS,MSTAR,I
,mjupiter,au,day,,deg,jd,m/s,,,,,mjupiter,msun,deg
Kepler-107 d,,0.0780099,7.958203,,90,2454970.79968,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.00371234,,
Kepler-1049 b,,0.0344721,3.27346074,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00245309,0.51,
Kepler-813 b,,0.13761,19.12947337,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0159697,0.95,
Kepler-427 b,0.310432,0.091351,10.290994,0,90,2454970.02207,29.8,Hebrard 2014,http://adsabs.harvard.edu/abs/2014A%26A...572A..93H,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,0.29,0.96,89.5
Kepler-1056 b,,0.185149,27.495606,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0271261,1.12,
Kepler-1165 b,,0.0912977,9.478522,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0115843,1.13,
Kepler-1104 b,,0.0627651,5.03728015,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00609283,1.3,
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,7.69234,1.31,84.32
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,0.0164915,1.23,
NN Ser d,0.642621,3.70596,2605,0.05,152,2458029,9.5,Horner 2012,http://adsabs.harvard.edu/abs/2012MNRAS.425..749H,Beuermann 2010,http://adsabs.harvard.edu/abs/2010A%26A...521L..60B,0.642621,,
WASP-105 b,1.75919,0.0745473,7.87288,0,90,2456600.0765,194,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,Anderson 2017,http://adsabs.harvard.edu/abs/2017A%26A...604A.110A,1.75922,0.89,89.7
GJ 625 b,0.0089295,0.0783624,14.628,0.13,343.1,,1.67,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S,Suarez Mascareno 2017,http://adsabs.harvard.edu/abs/2017A%26A...605A..92S,0.0089295,0.3,
Kepler-1279 b,,0.170989,23.4774101,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0129028,1.21,
Kepler-1599 b,,0.48075,122.363553,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0120821,0.99,
