GRBname T90
GRB200127A 217.024
GRB200125A 350.336
GRB200122A 190.596
GRB200115A 242.14
GRB200109A 112.0
GRB200107B 86.676
GRB191228A 193.816
GRB191227A 55.888
GRB191221B 48.0
GRB191220A 175.584
GRB191218A 44.664
GRB191213A 118.992
GRB191123A 284.812
GRB191122A 125.736
GRB191106A 3.436
GRB191101A 142.708
GRB191031D 0.288
GRB191031C 78.5
GRB191031A 12.132
GRB191029A 41.0
GRB191024A 7.084
GRB191019A 64.348
GRB191017B 4.328
GRB191016A 126.68
GRB191011A 7.352
GRB191004B 300.128
GRB191004A 2.444
GRB191001B 107.136
GRB190926A 362.34
GRB190829A 56.896
GRB190828B 715.856
GRB190824A 169.36
GRB190821A 57.096
GRB190816A 375.76
GRB190727B 39.196
GRB190719C 185.828
GRB190718A 704.0
GRB190706B 43.584
GRB190701A 52.432
GRB190630C 38.384
GRB190630B 5.568
GRB190627A 2.692
GRB190613B 160.82
GRB190613A 17.632
GRB190611A 41.76
GRB190610A 0.632
GRB190604B 220.176
GRB190519A 44.48
GRB190515B 46.512
GRB190512A 40.072
GRB190511A 27.664
GRB190427A 0.1919999
GRB190424A 9.836
GRB190422A 269.016
GRB190331A 4.336
GRB190326A 0.07599998
GRB190324A 22.784
GRB190320A 63.0
GRB190311A 13.952
GRB190220A 10.0
GRB190219A 167.74
GRB190211A 10.896
GRB190204A 26.324
GRB190203A 86.56
GRB190202A 16.0
GRB190123A 25.124
GRB190114C 361.46
GRB190114B 26.492
GRB190114A 67.096
GRB190110A 9.304
GRB190109B 6.512
GRB190109A 115.008
GRB190106A 78.096
GRB190103B 19.52
GRB181228A 255.152
GRB181224A 12.488
GRB181213A 15.296
GRB181203A 15.06
GRB181202A 6.56
GRB181126A 2.092
GRB181125A 10.512
GRB181123B 0.26
GRB181110A 138.424
GRB181103A 9.168
GRB181030A 303.196
GRB181027A 81.304
GRB181023A 56.984
GRB181022A 7.936
GRB181020A 238.016
GRB181016A 111.344
GRB181013A 104.208
GRB181010A 15.564
GRB181003A 25.492
GRB181002A 63.408
GRB180930A 6.804
GRB180925A 82.632
GRB180924A 94.816
GRB180905A 165.344
GRB180904A 4.632
GRB180828A 13.0
GRB180823A 80.296
GRB180821A 64.0
GRB180818B 137.46
GRB180818A 13.712
GRB180812A 16.528
GRB180809B 233.244
GRB180805B 122.24
GRB180805A 1.676
GRB180728A 8.684
GRB180727A 1.056
GRB180721A 47.6
GRB180720C 122.988
GRB180720B 108.4
GRB180718A 0.08399999
GRB180715A 0.684
GRB180709A 194.808
GRB180706A 42.444
GRB180705A 106.784
GRB180704A 19.656
GRB180630A 18.96
GRB180626A 30.104
GRB180624A 466.652
GRB180623A 114.88
GRB180620B 223.968
GRB180620A 22.948
GRB180618A 47.424
GRB180614A 7.092
GRB180613A 50.816
GRB180602A 53.204
GRB180514A 31.16
GRB180512A 24.0
GRB180510B 134.016
GRB180510A 64.0
GRB180504A 115.264
GRB180425A 11.904
GRB180418A 4.408
GRB180411A 77.976
GRB180410A 114.8
GRB180407A 100.628
GRB180404B 111.708
GRB180404A 36.28
GRB180402A 0.1799999
GRB180331B 78.032
GRB180331A 48.0
GRB180329B 213.536
GRB180329A 36.0
GRB180325A 92.828
GRB180324A 7.216
GRB180316A 87.0
GRB180314B 55.424
GRB180314A 50.464
GRB180311A 23.04
GRB180224A 10.92
GRB180222A 42.304
GRB180221A 11.0
GRB180205A 15.536
GRB180204A 1.164
GRB180115A 39.144
GRB180113A 64.0
GRB180111A 50.892
GRB180103A 150.4
GRB180102A 11.56
GRB171222A 173.872
GRB171216A 30.08
GRB171212A 304.0
GRB171211A 2.176
GRB171209A 161.648
GRB171205A 190.472
GRB171123A 58.464
GRB171120A 64.0
GRB171115A 36.772
GRB171103A 4.268
GRB171102B 18.88
GRB171027A 96.772
GRB171027A 96.772
GRB171020A 41.856
GRB171020A 41.856
GRB171011A 2.28
GRB171010B 30.4
GRB171007A 68.424
GRB171004A 105.54
GRB171001A 20.916
GRB170921A 28.8
GRB170912B 17.884
GRB170912A 21.184
GRB170906C 45.076
GRB170906B 19.2
GRB170906A 88.112
GRB170903A 27.724
GRB170827A 98.624
GRB170823A 69.408
GRB170822A 64.0
GRB170813A 72.544
GRB170810A 152.42
GRB170807A 36.324
GRB170804A 56.48
GRB170803A 3.82
GRB170728B 47.68
GRB170728A 1.248
GRB170724A 98.98
GRB170714A 459.216
GRB170711A 31.212
GRB170710B 54.4
GRB170710A 33.12
GRB170705A 223.204
GRB170629A 34.428
GRB170626A 12.948
GRB170607A 320.0
GRB170604A 26.528
GRB170531B 170.296
GRB170531A 32.304
GRB170526A 8.312
GRB170524B 46.4
GRB170524A 0.1039999
GRB170519A 220.252
GRB170516A 36.768
GRB170428A 0.1999999
GRB170419B 65.856
GRB170419A 7.776
GRB170405A 165.312
GRB170331A 17.616
GRB170330A 144.468
GRB170325A 0.3319999
GRB170318B 1.072
GRB170318A 116.916
GRB170317A 11.952
GRB170311A 9.0
GRB170307A 29.92
GRB170306A 21.008
GRB170208B 128.136
GRB170208A 7.448
GRB170206B 13.36
GRB170205A 26.128
GRB170203A 45.904
GRB170202A 37.76
GRB170127B 0.512
GRB170127A 67.376
GRB170126A 9.536
GRB170115A 32.044
GRB170113A 20.296
GRB170112A 0.05599993
GRB170111A 29.876
GRB170101A 3.104
GRB161224A 47.376
GRB161220A 7.22
GRB161219B 6.932
GRB161218A 7.2
GRB161217A 12.036
GRB161214B 24.896
GRB161202A 118.496
GRB161129A 35.544
GRB161117B 152.312
GRB161117A 125.7
GRB161113A 43.464
GRB161108A 115.836
GRB161105A 177.696
GRB161104A 0.09999996
GRB161022A 7.248
GRB161017A 217.048
GRB161014A 23.0
GRB161011A 4.276
GRB161007A 157.692
GRB161004B 15.72
GRB161004A 1.32
GRB161001A 2.6
GRB160927A 0.4879999
GRB160917A 14.52
GRB160912A 207.308
GRB160905A 64.0
GRB160827A 14.048
GRB160826A 52.616
GRB160824A 99.332
GRB160821B 0.48
GRB160821A 112.636
GRB160819A 67.2
GRB160815A 8.568
GRB160804A 152.744
GRB160801A 2.852
GRB160726A 0.7279999
