#delt(hr) extime band   fnu	fnuerr	d?
0.192	180	0.547	200	0	0
2.14	5.11e+03	0.547	54	0	0
2.35	7.7e+03	0.439	17.2	4.66	1
5.86	1.8e+03	0.622	12.6	0.234	1
6.1	900	0.905	25.4	1.44	1
6.58	900	0.763	16.4	0.934	1
6.74	1.8e+03	0.534	8.32	0.802	1
6.96	29.9	0.622	11	0.204	1
7.06	900	0.475	6.31	0.358	1
7.92	1.44e+03	0.475	5.3	0.199	1
8.23	600	0.622	8.63	0.16	1
8.95	1.44e+03	0.763	12.2	1.31	1
14.4	504	0.905	6.55	0.183	1
14.5	684	2.2	13.7	1.46	1
14.6	504	0.763	4.53	0.127	1
14.7	504	1.25	9.29	1.28	1
14.8	504	0.622	2.88	0.0808	1
15	504	0.475	1.6	0.06	1
31.2	540	0.622	0.302	0.00279	0
31.2	540	0.763	0.575	0	0
32.2	1.2e+03	0.622	0.457	0.00423	0
38.2	601	0.475	0.191	0	0
38.4	601	0.622	0.209	0.0665	1
38.6	601	0.763	0.479	0	0
38.6	1.4e+03	1.25	3.63	0	0
38.9	601	0.905	1	0	0
55.7	1.32e+03	1.25	1.32	0	0
78.2	600	0.622	0.331	0	0
102	600	0.622	0.229	0	0
#pandey 2019, MNRAS, 485, 5294
2.93	0	0.62	33.15	5.61	1
4.70	0	0.6	10.79	2.79	1
4.86	0	0.79	13.62	3.84	1
8.06	0	0.79	11.47	0.21	1
12.47	0	1.0	5.25	5.8	1 #used 0.2 A for Y
12.47	0	1.5	26.06	7.67	1
12.83	0	0.9	8.23	3.03	1
12.83	0	1.2	15.50	6.50	1
12.97	0	0.62	4.58	0.93	1
12.97	0	0.79	6.08	1.23	1
26.74	0	0.62	11.07	6.47	1
26.78	0	0.6	3.35	0	0
50.25	0	0.62	2.58	0	0
51.57	0	0.62	13.3	0	0
122.74	0	0.6	3.60	0	0
# Berger, Fong, Chornock 2013 in HST limits file
