# INSTRUMENT_ID: 18
# OBS_GROUP_ID: 2
# UNIT_ID: None
# RA: 23.56025
# DEC: -29.4402777777778
# OBS_DATE: 2016-09-21 21:16:20+00:00
# REDSHIFT: 0.0049
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 2275
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3600.038,6.55940e-15,-9.90000e+01
3600.972,6.31348e-15,-9.90000e+01
3601.905,6.33901e-15,-9.90000e+01
3602.839,6.50900e-15,-9.90000e+01
3603.773,6.42826e-15,-9.90000e+01
3604.706,6.52118e-15,-9.90000e+01
3605.640,6.40953e-15,-9.90000e+01
3606.574,6.24059e-15,-9.90000e+01
3607.507,6.29829e-15,-9.90000e+01
3608.441,6.43495e-15,-9.90000e+01
3609.375,6.39464e-15,-9.90000e+01
3610.308,6.32762e-15,-9.90000e+01
3611.242,6.34428e-15,-9.90000e+01
3612.176,6.30871e-15,-9.90000e+01
3613.109,6.20403e-15,-9.90000e+01
3614.043,6.19365e-15,-9.90000e+01
3614.977,6.28007e-15,-9.90000e+01
3615.910,6.29517e-15,-9.90000e+01
3616.844,6.26376e-15,-9.90000e+01
3617.778,6.27908e-15,-9.90000e+01
3618.711,6.32064e-15,-9.90000e+01
3619.645,6.24895e-15,-9.90000e+01
3620.579,6.20915e-15,-9.90000e+01
3621.512,6.34749e-15,-9.90000e+01
3622.446,6.39437e-15,-9.90000e+01
3623.380,6.26995e-15,-9.90000e+01
3624.313,6.14579e-15,-9.90000e+01
3625.247,6.15442e-15,-9.90000e+01
3626.181,6.31122e-15,-9.90000e+01
3627.114,6.31310e-15,-9.90000e+01
3628.048,6.22757e-15,-9.90000e+01
3628.982,6.23366e-15,-9.90000e+01
3629.915,6.10148e-15,-9.90000e+01
3630.849,5.99094e-15,-9.90000e+01
3631.783,6.09315e-15,-9.90000e+01
3632.716,6.12952e-15,-9.90000e+01
3633.650,5.99704e-15,-9.90000e+01
3634.584,6.01305e-15,-9.90000e+01
3635.517,6.16243e-15,-9.90000e+01
3636.451,6.12709e-15,-9.90000e+01
3637.385,6.01639e-15,-9.90000e+01
3638.318,6.04966e-15,-9.90000e+01
3639.252,6.17588e-15,-9.90000e+01
3640.186,6.23543e-15,-9.90000e+01
3641.119,6.17385e-15,-9.90000e+01
3642.053,6.17466e-15,-9.90000e+01
3642.987,6.09430e-15,-9.90000e+01
3643.920,6.11110e-15,-9.90000e+01
3644.854,6.05272e-15,-9.90000e+01
3645.788,6.01519e-15,-9.90000e+01
3646.721,5.95887e-15,-9.90000e+01
3647.655,5.96992e-15,-9.90000e+01
3648.589,5.98800e-15,-9.90000e+01
