# INSTRUMENT_ID: 17
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 178.2218625
# DEC: 44.12395
# OBS_DATE: 2017-06-23 06:51:36+00:00
# REDSHIFT: 0.0027
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 2940
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3200.242,6.10606e+02,-9.90000e+01
3201.984,2.06769e+03,-9.90000e+01
3203.726,1.30968e+04,-9.90000e+01
3205.468,1.26580e+03,-9.90000e+01
3207.210,-8.05013e+02,-9.90000e+01
3208.952,3.77488e+03,-9.90000e+01
3210.694,1.67983e+04,-9.90000e+01
3212.436,2.35860e+03,-9.90000e+01
3214.178,2.69989e+03,-9.90000e+01
3215.920,4.68678e+03,-9.90000e+01
3217.662,5.72500e+03,-9.90000e+01
3219.404,6.04064e+03,-9.90000e+01
3221.146,1.51186e+03,-9.90000e+01
3222.888,7.24526e+03,-9.90000e+01
3224.631,3.87520e+03,-9.90000e+01
3226.373,8.65324e+03,-9.90000e+01
3228.115,5.54664e+03,-9.90000e+01
3229.857,2.83856e+03,-9.90000e+01
3231.599,4.36844e+03,-9.90000e+01
3233.341,5.80649e+02,-9.90000e+01
3235.083,2.94149e+03,-9.90000e+01
3236.825,1.36550e+02,-9.90000e+01
3238.567,-8.46385e+02,-9.90000e+01
3240.309,5.78422e+03,-9.90000e+01
3242.051,2.54304e+03,-9.90000e+01
3243.793,2.33256e+03,-9.90000e+01
3245.535,7.82762e+03,-9.90000e+01
3247.277,1.10650e+04,-9.90000e+01
3249.019,7.66111e+03,-9.90000e+01
3250.761,4.31254e+03,-9.90000e+01
3252.503,4.92273e+03,-9.90000e+01
3254.245,8.48709e+03,-9.90000e+01
3255.987,1.42174e+03,-9.90000e+01
3257.729,1.10995e+03,-9.90000e+01
3259.471,4.55038e+03,-9.90000e+01
3261.213,9.04782e+02,-9.90000e+01
3262.955,4.85152e+03,-9.90000e+01
3264.697,5.30554e+03,-9.90000e+01
3266.439,3.14657e+02,-9.90000e+01
3268.181,1.01354e+03,-9.90000e+01
3269.923,5.84850e+02,-9.90000e+01
3271.666,6.43813e+03,-9.90000e+01
3273.408,1.15421e+04,-9.90000e+01
3275.150,4.68635e+03,-9.90000e+01
3276.892,1.29956e+03,-9.90000e+01
3278.634,1.18397e+04,-9.90000e+01
3280.376,5.00209e+03,-9.90000e+01
3282.118,2.24802e+03,-9.90000e+01
3283.860,1.86235e+03,-9.90000e+01
3285.602,7.38985e+03,-9.90000e+01
3287.344,3.88596e+03,-9.90000e+01
3289.086,1.17337e+03,-9.90000e+01
3290.828,2.92091e+03,-9.90000e+01
3292.570,5.69924e+03,-9.90000e+01
3294.312,6.18736e+03,-9.90000e+01
3296.054,3.01938e+03,-9.90000e+01
3297.796,5.47557e+03,-9.90000e+01
3299.538,6.32043e+03,-9.90000e+01
3301.280,9.56611e+02,-9.90000e+01
3303.022,2.77412e+03,-9.90000e+01
3304.764,1.56592e+03,-9.90000e+01
3306.506,-1.26074e+02,-9.90000e+01
3308.248,6.85341e+02,-9.90000e+01
3309.990,-1.72185e+02,-9.90000e+01
3311.732,1.44607e+03,-9.90000e+01
3313.474,8.15996e+03,-9.90000e+01
3315.216,2.06128e+03,-9.90000e+01
3316.959,1.48792e+02,-9.90000e+01
3318.701,2.10263e+03,-9.90000e+01
3320.443,6.73348e+02,-9.90000e+01
3322.185,7.38047e+02,-9.90000e+01
3323.927,6.25174e+02,-9.90000e+01
3325.669,9.12061e+02,-9.90000e+01
3327.411,3.48411e+03,-9.90000e+01
3329.153,7.74267e+03,-9.90000e+01
3330.895,1.26289e+03,-9.90000e+01
3332.637,3.47270e+03,-9.90000e+01
3334.379,5.22798e+02,-9.90000e+01
3336.121,5.78155e+02,-9.90000e+01
3337.863,5.89863e+03,-9.90000e+01
3339.605,1.16423e+03,-9.90000e+01
3341.347,2.81768e+03,-9.90000e+01
3343.089,2.40106e+03,-9.90000e+01
3344.831,1.17762e+03,-9.90000e+01
3346.573,6.29338e+03,-9.90000e+01
3348.315,3.18737e+03,-9.90000e+01
3350.057,3.20532e+03,-9.90000e+01
3351.799,3.25369e+03,-9.90000e+01
3353.541,1.05774e+03,-9.90000e+01
3355.283,1.43750e+03,-9.90000e+01
3357.025,1.69001e+03,-9.90000e+01
3358.767,4.77168e+03,-9.90000e+01
3360.509,5.28197e+03,-9.90000e+01
3362.251,1.23017e+03,-9.90000e+01
3363.994,2.90592e+03,-9.90000e+01
3365.736,5.34747e+03,-9.90000e+01
3367.478,3.98584e+03,-9.90000e+01
3369.220,1.00703e+04,-9.90000e+01
3370.962,2.11659e+03,-9.90000e+01
3372.704,4.25334e+03,-9.90000e+01
3374.446,3.73027e+03,-9.90000e+01
3376.188,1.96129e+02,-9.90000e+01
3377.930,1.57865e+03,-9.90000e+01
3379.672,1.25264e+03,-9.90000e+01
3381.414,4.08697e+03,-9.90000e+01
3383.156,3.77367e+03,-9.90000e+01
3384.898,1.34405e+03,-9.90000e+01
3386.640,8.91964e+03,-9.90000e+01
3388.382,1.54387e+03,-9.90000e+01
3390.124,4.35079e+03,-9.90000e+01
3391.866,7.72642e+03,-9.90000e+01
3393.608,1.36306e+03,-9.90000e+01
3395.350,3.07041e+03,-9.90000e+01
3397.092,5.06009e+03,-9.90000e+01
3398.834,1.13612e+03,-9.90000e+01
3400.576,-3.40848e+02,-9.90000e+01
3402.318,1.89692e+03,-9.90000e+01
3404.060,1.34853e+03,-9.90000e+01
3405.802,1.11295e+03,-9.90000e+01
3407.544,6.17187e+03,-9.90000e+01
3409.286,8.26616e+03,-9.90000e+01
3411.029,3.72586e+03,-9.90000e+01
3412.771,5.53035e+02,-9.90000e+01
3414.513,2.57340e+03,-9.90000e+01
3416.255,4.82983e+02,-9.90000e+01
3417.997,3.37780e+03,-9.90000e+01
3419.739,4.85213e+03,-9.90000e+01
3421.481,5.78377e+03,-9.90000e+01
3423.223,7.30149e+03,-9.90000e+01
3424.965,4.88558e+03,-9.90000e+01
3426.707,4.16979e+03,-9.90000e+01
3428.449,5.17360e+03,-9.90000e+01
3430.191,2.81931e+03,-9.90000e+01
3431.933,1.03866e+03,-9.90000e+01
