# INSTRUMENT_ID: 17
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 202.4266375
# DEC: 47.1933444444444
# OBS_DATE: 2019-03-02 14:19:12+00:00
# REDSHIFT: 0.0015
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 11708
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3294.000,5.48445e+02,-9.90000e+01
3296.288,4.87886e+02,-9.90000e+01
3298.575,6.96829e+02,-9.90000e+01
3300.863,2.74987e+03,-9.90000e+01
3303.151,5.83879e+03,-9.90000e+01
3305.438,2.52499e+03,-9.90000e+01
3307.726,2.83485e+03,-9.90000e+01
3310.014,1.59991e+03,-9.90000e+01
3312.301,2.69843e+03,-9.90000e+01
3314.589,4.28654e+03,-9.90000e+01
3316.877,1.65819e+03,-9.90000e+01
3319.164,1.25481e+03,-9.90000e+01
3321.452,1.05265e+04,-9.90000e+01
3323.740,1.93928e+03,-9.90000e+01
3326.027,3.19670e+03,-9.90000e+01
3328.315,9.42766e+03,-9.90000e+01
3330.603,6.28503e+03,-9.90000e+01
3332.890,3.17944e+03,-9.90000e+01
3335.178,5.28803e+03,-9.90000e+01
3337.466,4.31983e+03,-9.90000e+01
3339.753,4.40010e+03,-9.90000e+01
3342.041,3.94616e+03,-9.90000e+01
3344.329,3.87203e+03,-9.90000e+01
3346.616,5.24475e+03,-9.90000e+01
3348.904,2.72069e+02,-9.90000e+01
3351.192,2.41411e+02,-9.90000e+01
3353.479,4.82601e+03,-9.90000e+01
3355.767,1.85851e+03,-9.90000e+01
3358.055,7.40530e+03,-9.90000e+01
3360.342,2.84497e+03,-9.90000e+01
3362.630,2.09482e+03,-9.90000e+01
3364.918,1.26044e+03,-9.90000e+01
3367.205,4.56950e+02,-9.90000e+01
3369.493,1.45901e+02,-9.90000e+01
3371.781,1.56099e+03,-9.90000e+01
3374.068,3.00274e+03,-9.90000e+01
3376.356,3.22184e+03,-9.90000e+01
3378.643,4.24476e+03,-9.90000e+01
3380.931,5.85229e+03,-9.90000e+01
3383.219,5.25313e+03,-9.90000e+01
3385.506,2.21068e+03,-9.90000e+01
3387.794,2.83509e+03,-9.90000e+01
3390.082,5.92542e+03,-9.90000e+01
3392.369,3.37393e+03,-9.90000e+01
3394.657,3.19114e+03,-9.90000e+01
3396.945,5.19350e+03,-9.90000e+01
3399.232,3.90956e+03,-9.90000e+01
3401.520,9.38353e+02,-9.90000e+01
3403.808,3.99094e+03,-9.90000e+01
3406.095,5.82709e+03,-9.90000e+01
3408.383,4.75030e+03,-9.90000e+01
3410.671,3.46431e+03,-9.90000e+01
3412.958,1.42207e+03,-9.90000e+01
3415.246,3.22025e+03,-9.90000e+01
3417.534,5.59301e+03,-9.90000e+01
3419.821,8.14874e+02,-9.90000e+01
3422.109,3.27898e+03,-9.90000e+01
3424.397,2.07227e+03,-9.90000e+01
3426.684,5.18607e+03,-9.90000e+01
3428.972,2.97615e+03,-9.90000e+01
3431.260,3.17992e+03,-9.90000e+01
3433.547,1.97785e+03,-9.90000e+01
3435.835,5.58510e+03,-9.90000e+01
3438.123,1.32547e+03,-9.90000e+01
3440.410,1.65866e+03,-9.90000e+01
3442.698,3.59307e+02,-9.90000e+01
3444.986,1.13781e+03,-9.90000e+01
3447.273,5.45514e+03,-9.90000e+01
3449.561,1.05933e+03,-9.90000e+01
3451.849,1.54340e+02,-9.90000e+01
3454.136,4.84929e+02,-9.90000e+01
3456.424,1.32318e+03,-9.90000e+01
3458.712,1.32440e+03,-9.90000e+01
3460.999,-5.27602e+01,-9.90000e+01
3463.287,2.39255e+02,-9.90000e+01
3465.575,2.23737e+03,-9.90000e+01
3467.862,1.16054e+03,-9.90000e+01
3470.150,3.54367e+03,-9.90000e+01
3472.438,4.17834e+03,-9.90000e+01
3474.725,1.83398e+03,-9.90000e+01
3477.013,1.51872e+03,-9.90000e+01
3479.301,2.16744e+03,-9.90000e+01
3481.588,6.81453e+02,-9.90000e+01
3483.876,-6.18717e+01,-9.90000e+01
3486.164,2.75916e+03,-9.90000e+01
3488.451,8.76879e+03,-9.90000e+01
3490.739,1.42774e+03,-9.90000e+01
3493.027,6.07927e+02,-9.90000e+01
3495.314,1.28118e+03,-9.90000e+01
3497.602,1.21758e+03,-9.90000e+01
3499.890,4.32884e+02,-9.90000e+01
3502.177,9.51510e+02,-9.90000e+01
3504.465,1.40560e+03,-9.90000e+01
3506.753,1.25738e+03,-9.90000e+01
3509.040,4.89000e+03,-9.90000e+01
3511.328,1.40401e+03,-9.90000e+01
3513.616,5.76024e+02,-9.90000e+01
3515.903,1.70861e+03,-9.90000e+01
3518.191,3.78696e+03,-9.90000e+01
3520.479,4.27077e+02,-9.90000e+01
3522.766,2.45387e+03,-9.90000e+01
3525.054,6.11759e+03,-9.90000e+01
3527.342,3.01343e+03,-9.90000e+01
3529.629,4.07854e+03,-9.90000e+01
3531.917,5.61934e+03,-9.90000e+01
3534.205,5.21974e+03,-9.90000e+01
3536.492,3.69789e+03,-9.90000e+01
3538.780,7.17654e+03,-9.90000e+01
3541.068,4.39677e+03,-9.90000e+01
3543.355,4.47815e+03,-9.90000e+01
3545.643,1.78427e+03,-9.90000e+01
3547.930,1.65112e+03,-9.90000e+01
3550.218,1.01998e+03,-9.90000e+01
3552.506,6.47602e+02,-9.90000e+01
3554.793,3.85586e+03,-9.90000e+01
3557.081,3.83506e+03,-9.90000e+01
3559.369,3.71353e+03,-9.90000e+01
3561.656,3.24977e+03,-9.90000e+01
3563.944,6.37771e+03,-9.90000e+01
3566.232,7.20958e+03,-9.90000e+01
3568.519,3.73545e+03,-9.90000e+01
3570.807,3.71210e+03,-9.90000e+01
3573.095,4.29024e+03,-9.90000e+01
3575.382,2.96947e+03,-9.90000e+01
3577.670,4.47508e+03,-9.90000e+01
3579.958,4.98423e+03,-9.90000e+01
3582.245,5.31089e+03,-9.90000e+01
3584.533,3.65178e+03,-9.90000e+01
3586.821,1.62970e+03,-9.90000e+01
3589.108,1.60017e+03,-9.90000e+01
3591.396,4.46822e+03,-9.90000e+01
3593.684,1.97057e+03,-9.90000e+01
3595.971,2.68821e+03,-9.90000e+01
3598.259,4.60943e+03,-9.90000e+01
3600.547,3.92357e+03,-9.90000e+01
3602.834,3.59466e+03,-9.90000e+01
3605.122,5.28120e+03,-9.90000e+01
3607.410,4.77982e+03,-9.90000e+01
3609.697,2.52054e+03,-9.90000e+01
3611.985,3.17234e+03,-9.90000e+01
3614.273,3.15589e+03,-9.90000e+01
3616.560,4.67121e+03,-9.90000e+01
3618.848,3.64097e+03,-9.90000e+01
3621.136,1.73843e+03,-9.90000e+01
3623.423,4.09734e+03,-9.90000e+01
3625.711,4.57968e+03,-9.90000e+01
3627.999,8.53119e+02,-9.90000e+01
3630.286,3.31581e+03,-9.90000e+01
3632.574,4.08305e+03,-9.90000e+01
3634.862,5.44694e+03,-9.90000e+01
3637.149,4.37692e+03,-9.90000e+01
3639.437,4.15684e+03,-9.90000e+01
3641.725,4.04741e+03,-9.90000e+01
3644.012,4.89981e+03,-9.90000e+01
3646.300,7.54645e+03,-9.90000e+01
3648.588,7.43197e+03,-9.90000e+01
3650.875,3.66697e+03,-9.90000e+01
3653.163,4.45726e+03,-9.90000e+01
3655.451,2.24769e+03,-9.90000e+01
3657.738,2.14068e+03,-9.90000e+01
3660.026,2.14582e+03,-9.90000e+01
3662.314,5.75491e+03,-9.90000e+01
3664.601,2.76867e+03,-9.90000e+01
3666.889,5.09303e+03,-9.90000e+01
3669.177,7.07723e+03,-9.90000e+01
3671.464,4.15640e+03,-9.90000e+01
3673.752,1.90334e+03,-9.90000e+01
3676.040,7.92287e+03,-9.90000e+01
3678.327,2.06654e+03,-9.90000e+01
3680.615,5.88150e+03,-9.90000e+01
3682.903,6.67320e+03,-9.90000e+01
3685.190,3.24473e+03,-9.90000e+01
3687.478,5.79404e+03,-9.90000e+01
3689.766,8.33866e+03,-9.90000e+01
3692.053,8.84592e+03,-9.90000e+01
3694.341,1.00181e+04,-9.90000e+01
3696.629,8.06412e+03,-9.90000e+01
3698.916,6.18868e+03,-9.90000e+01
3701.204,7.10883e+03,-9.90000e+01
3703.492,5.97340e+03,-9.90000e+01
3705.779,2.59710e+03,-9.90000e+01
3708.067,5.83319e+03,-9.90000e+01
3710.355,8.83339e+03,-9.90000e+01
3712.642,7.75341e+03,-9.90000e+01
3714.930,7.58674e+03,-9.90000e+01
3717.217,8.57724e+03,-9.90000e+01
3719.505,7.59038e+03,-9.90000e+01
3721.793,6.58368e+03,-9.90000e+01
3724.080,7.49921e+03,-9.90000e+01
3726.368,7.49189e+03,-9.90000e+01
3728.656,7.57950e+03,-9.90000e+01
3730.943,7.01502e+03,-9.90000e+01
3733.231,7.72593e+03,-9.90000e+01
3735.519,4.50840e+03,-9.90000e+01
3737.806,4.75995e+03,-9.90000e+01
3740.094,7.81190e+03,-9.90000e+01
3742.382,8.79928e+03,-9.90000e+01
3744.669,6.33416e+03,-9.90000e+01
3746.957,4.53023e+03,-9.90000e+01
3749.245,5.06458e+03,-9.90000e+01
3751.532,6.12545e+03,-9.90000e+01
3753.820,4.68623e+03,-9.90000e+01
3756.108,4.81214e+03,-9.90000e+01
3758.395,5.09486e+03,-9.90000e+01
3760.683,7.38140e+03,-9.90000e+01
3762.971,9.62326e+03,-9.90000e+01
3765.258,5.69773e+03,-9.90000e+01
3767.546,1.43684e+03,-9.90000e+01
3769.834,4.36725e+03,-9.90000e+01
3772.121,5.67921e+03,-9.90000e+01
3774.409,4.99144e+03,-9.90000e+01
3776.697,4.55811e+03,-9.90000e+01
3778.984,5.82228e+03,-9.90000e+01
3781.272,7.36010e+03,-9.90000e+01
3783.560,7.40398e+03,-9.90000e+01
3785.847,8.72724e+03,-9.90000e+01
3788.135,8.11187e+03,-9.90000e+01
3790.423,6.95122e+03,-9.90000e+01
3792.710,9.49336e+03,-9.90000e+01
3794.998,4.32514e+03,-9.90000e+01
3797.286,5.92383e+03,-9.90000e+01
3799.573,8.20423e+03,-9.90000e+01
3801.861,7.18798e+03,-9.90000e+01
3804.149,6.53052e+03,-9.90000e+01
3806.436,8.55812e+03,-9.90000e+01
