# INSTRUMENT_ID: 33
# OBS_GROUP_ID: 84
# UNIT_ID: None
# RA: 191.28389119875
# DEC: -0.459091560522426
# OBS_DATE: 2019-12-29 07:47:05+00:00
# REDSHIFT: 0.005
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 29079
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3644.048,4.70859e-16,-9.90000e+01
3649.566,3.98342e-16,-9.90000e+01
3655.084,3.78415e-16,-9.90000e+01
3660.602,4.33402e-16,-9.90000e+01
3666.120,4.45855e-16,-9.90000e+01
3671.637,4.28637e-16,-9.90000e+01
3677.155,6.03505e-16,-9.90000e+01
3682.673,5.63067e-16,-9.90000e+01
3688.191,5.01913e-16,-9.90000e+01
3693.709,5.44478e-16,-9.90000e+01
3699.227,3.65439e-16,-9.90000e+01
3704.745,4.64309e-16,-9.90000e+01
3710.263,5.38851e-16,-9.90000e+01
3715.781,4.89995e-16,-9.90000e+01
3721.299,3.89835e-16,-9.90000e+01
3726.817,4.15266e-16,-9.90000e+01
3732.335,3.10347e-16,-9.90000e+01
3737.853,3.48859e-16,-9.90000e+01
3743.371,3.74026e-16,-9.90000e+01
3748.888,3.18304e-16,-9.90000e+01
3754.406,3.32129e-16,-9.90000e+01
3759.924,3.06506e-16,-9.90000e+01
3765.442,3.14616e-16,-9.90000e+01
3770.960,1.97606e-16,-9.90000e+01
3776.478,2.49512e-16,-9.90000e+01
3781.996,2.71254e-16,-9.90000e+01
3787.514,2.81497e-16,-9.90000e+01
3793.032,2.30377e-16,-9.90000e+01
3798.550,2.94582e-16,-9.90000e+01
3804.068,2.87746e-16,-9.90000e+01
3809.586,2.49513e-16,-9.90000e+01
3815.104,3.28699e-16,-9.90000e+01
3820.622,2.88777e-16,-9.90000e+01
3826.139,2.67197e-16,-9.90000e+01
3831.657,2.92990e-16,-9.90000e+01
3837.175,3.45763e-16,-9.90000e+01
3842.693,3.56477e-16,-9.90000e+01
3848.211,3.45747e-16,-9.90000e+01
3853.729,3.74535e-16,-9.90000e+01
3859.247,3.92608e-16,-9.90000e+01
3864.765,4.59720e-16,-9.90000e+01
3870.283,4.93358e-16,-9.90000e+01
3875.801,5.15084e-16,-9.90000e+01
3881.319,5.75430e-16,-9.90000e+01
3886.837,6.25045e-16,-9.90000e+01
3892.355,6.35029e-16,-9.90000e+01
3897.873,6.58728e-16,-9.90000e+01
3903.390,7.16017e-16,-9.90000e+01
3908.908,7.22504e-16,-9.90000e+01
3914.426,7.60526e-16,-9.90000e+01
3919.944,8.50175e-16,-9.90000e+01
3925.462,8.47521e-16,-9.90000e+01
3930.980,8.95283e-16,-9.90000e+01
3936.498,9.59950e-16,-9.90000e+01
3942.016,9.39445e-16,-9.90000e+01
3947.534,9.33330e-16,-9.90000e+01
3953.052,9.27680e-16,-9.90000e+01
3958.570,9.63827e-16,-9.90000e+01
3964.088,9.66843e-16,-9.90000e+01
3969.606,1.02453e-15,-9.90000e+01
3975.124,1.10238e-15,-9.90000e+01
3980.641,9.86264e-16,-9.90000e+01
3986.159,9.25354e-16,-9.90000e+01
3991.677,9.30882e-16,-9.90000e+01
