# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 220.041800051771
# DEC: 42.777619435527
# OBS_DATE: 2021-01-11 00:00:00+00:00
# REDSHIFT: 0.00838532
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 58684
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3403.533,1.28698e-03,8.99979e-02
3406.067,2.95709e-01,6.91559e-02
3408.600,-5.38105e-02,7.41202e-02
3411.133,5.82324e-02,7.38353e-02
3413.666,3.44661e-01,7.33872e-02
3416.200,1.48745e-01,7.25004e-02
3418.733,1.05487e-01,6.93860e-02
3421.266,1.46161e-01,6.37551e-02
3423.800,-2.03896e-02,7.70351e-02
3426.333,1.19378e-01,8.37358e-02
3428.866,9.74991e-02,8.45787e-02
3431.400,3.39402e-02,9.06879e-02
3433.933,-4.19741e-02,9.40837e-02
3436.466,-3.91204e-02,8.46449e-02
3438.999,1.39829e-01,7.94533e-02
3441.533,5.59593e-02,8.13142e-02
3444.066,1.08954e-01,6.72370e-02
3446.599,1.90328e-01,6.58918e-02
3449.133,1.63299e-01,5.84856e-02
3451.666,-2.46412e-02,5.98045e-02
3454.199,5.30500e-03,6.51911e-02
3456.733,1.56606e-01,6.67429e-02
3459.266,9.32658e-02,5.79860e-02
3461.799,1.57319e-01,5.77922e-02
3464.332,1.52474e-01,6.13460e-02
3466.866,1.98015e-01,6.37273e-02
3469.399,7.73813e-02,5.68905e-02
3471.932,2.70080e-01,5.56437e-02
3474.466,1.03618e-01,5.27133e-02
3476.999,1.49293e-01,5.81008e-02
3479.532,1.42944e-01,5.99042e-02
3482.065,1.40574e-01,6.80313e-02
3484.599,1.70273e-02,5.81234e-02
3487.132,3.08611e-01,5.12732e-02
3489.665,1.25997e-01,5.42850e-02
3492.199,1.50810e-01,5.70245e-02
3494.732,1.18773e-01,5.88592e-02
3497.265,3.63306e-02,6.00253e-02
3499.799,1.47427e-01,5.18966e-02
3502.332,2.09395e-01,5.22994e-02
3504.865,1.09462e-01,5.50357e-02
3507.398,6.95325e-02,5.74008e-02
3509.932,5.20733e-03,5.45450e-02
3512.465,1.42930e-01,5.21536e-02
3514.998,2.11147e-01,4.62102e-02
3517.532,1.99999e-01,4.95831e-02
3520.065,9.77558e-02,4.68375e-02
3522.598,3.01210e-01,4.41733e-02
3525.132,1.04833e-01,5.29548e-02
3527.665,7.75921e-02,4.12832e-02
3530.198,4.25722e-02,4.72422e-02
3532.731,1.05553e-01,4.99026e-02
3535.265,1.98095e-01,4.84071e-02
3537.798,1.93973e-01,5.50764e-02
3540.331,1.54921e-01,4.67342e-02
3542.865,1.47730e-01,5.16246e-02
3545.398,1.78581e-01,4.80900e-02
3547.931,1.96529e-01,4.93402e-02
3550.465,1.20917e-01,5.29810e-02
3552.998,1.40944e-01,4.68126e-02
3555.531,1.22560e-01,4.57616e-02
3558.064,2.11130e-01,4.69681e-02
3560.598,8.72788e-02,4.61830e-02
3563.131,1.51828e-01,4.57486e-02
3565.664,1.08408e-01,4.52231e-02
3568.198,8.89965e-02,4.15500e-02
3570.731,1.03119e-01,3.86448e-02
3573.264,5.63329e-02,4.20757e-02
3575.797,1.98122e-01,4.55488e-02
3578.331,1.65935e-01,4.35148e-02
3580.864,2.07974e-01,4.30316e-02
3583.397,1.32995e-01,3.54647e-02
3585.931,1.22209e-01,3.62718e-02
3588.464,1.36650e-01,4.35230e-02
3590.997,5.45226e-02,4.23367e-02
3593.531,7.69052e-02,4.41933e-02
3596.064,8.84658e-02,3.84882e-02
3598.597,2.33906e-01,3.87034e-02
3601.130,1.79652e-01,4.21061e-02
3603.664,1.05381e-01,4.32632e-02
3606.197,2.28146e-01,3.87655e-02
3608.730,1.79176e-01,3.84193e-02
3611.264,3.89201e-02,3.83806e-02
3613.797,9.34663e-02,3.86392e-02
3616.330,3.53714e-02,4.15831e-02
3618.864,5.00497e-02,4.14175e-02
3621.397,1.80549e-01,3.95872e-02
3623.930,8.86645e-02,3.61761e-02
3626.463,1.37633e-01,3.68651e-02
3628.997,1.07260e-01,4.21813e-02
3631.530,3.94585e-02,4.12132e-02
3634.063,1.27188e-01,3.96605e-02
3636.597,1.61539e-01,3.88731e-02
3639.130,1.47895e-01,3.88085e-02
3641.663,2.03732e-01,4.07307e-02
3644.196,2.09846e-01,4.48380e-02
3646.730,8.54171e-02,5.08783e-02
3649.263,1.23365e-01,5.66009e-02
3651.796,1.99329e-01,5.73162e-02
3654.330,2.42551e-02,4.77993e-02
3656.863,1.01971e-01,4.87875e-02
3659.396,1.09221e-01,4.61397e-02
3661.930,2.15324e-01,4.79381e-02
3664.463,1.26018e-01,4.32105e-02
3666.996,7.16763e-02,3.52578e-02
3669.529,2.22523e-01,3.93107e-02
3672.063,2.25858e-01,3.81837e-02
3674.596,1.55576e-01,3.57951e-02
3677.129,1.29368e-01,3.30503e-02
3679.663,9.32046e-02,3.09307e-02
3682.196,1.01226e-01,3.40244e-02
3684.729,-1.15031e-03,3.68661e-02
3687.263,1.72428e-01,3.82880e-02
3689.796,2.11503e-01,3.48588e-02
3692.329,1.79921e-01,3.29318e-02
3694.862,7.43739e-02,3.14327e-02
3697.396,1.29768e-01,3.41409e-02
3699.929,1.00693e-01,3.66332e-02
3702.462,1.51794e-01,3.31963e-02
3704.996,1.49411e-01,3.05426e-02
3707.529,1.22485e-01,2.85367e-02
