# INSTRUMENT_ID: 78
# OBS_GROUP_ID: 10
# UNIT_ID: None
# RA: 210.84828749999997
# DEC: -6.031622222222222
# OBS_DATE: 2021-06-10 04:45:43+00:00
# REDSHIFT: 0.008733
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 83234
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3902.798,1.24612e-14,-9.90000e+01
3904.096,1.26469e-14,-9.90000e+01
3905.394,1.24806e-14,-9.90000e+01
3906.692,1.26323e-14,-9.90000e+01
3907.990,1.31341e-14,-9.90000e+01
3909.288,1.29867e-14,-9.90000e+01
3910.587,1.27304e-14,-9.90000e+01
3911.885,1.29467e-14,-9.90000e+01
3913.183,1.29497e-14,-9.90000e+01
3914.481,1.30925e-14,-9.90000e+01
3915.779,1.30798e-14,-9.90000e+01
3917.077,1.32337e-14,-9.90000e+01
3918.375,1.35780e-14,-9.90000e+01
3919.673,1.38340e-14,-9.90000e+01
3920.971,1.32008e-14,-9.90000e+01
3922.269,1.36105e-14,-9.90000e+01
3923.567,1.37409e-14,-9.90000e+01
3924.865,1.37061e-14,-9.90000e+01
3926.164,1.34867e-14,-9.90000e+01
3927.462,1.39231e-14,-9.90000e+01
3928.760,1.40596e-14,-9.90000e+01
3930.058,1.40444e-14,-9.90000e+01
3931.356,1.41314e-14,-9.90000e+01
3932.654,1.47358e-14,-9.90000e+01
3933.952,1.42044e-14,-9.90000e+01
3935.250,1.33663e-14,-9.90000e+01
3936.548,1.26792e-14,-9.90000e+01
3937.846,1.26550e-14,-9.90000e+01
3939.144,1.36133e-14,-9.90000e+01
3940.443,1.39339e-14,-9.90000e+01
3941.741,1.37514e-14,-9.90000e+01
3943.039,1.33567e-14,-9.90000e+01
3944.337,1.36888e-14,-9.90000e+01
3945.635,1.37310e-14,-9.90000e+01
