# INSTRUMENT_ID: 1
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 357.7712083333333
# DEC: 20.152527777777777
# OBS_DATE: 2022-06-24 10:29:22.320000+00:00
# REDSHIFT: 0.014046
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 110510
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3503.534,1.62151e+00,9.67630e-02
3506.067,1.44671e+00,9.21463e-02
3508.601,1.55765e+00,8.65585e-02
3511.135,1.67879e+00,8.68727e-02
3513.669,1.76838e+00,9.16158e-02
3516.202,1.64636e+00,9.50986e-02
3518.736,1.51003e+00,9.09806e-02
3521.270,1.54652e+00,8.41389e-02
3523.804,1.60202e+00,8.25142e-02
3526.337,1.72391e+00,8.92792e-02
3528.871,1.63340e+00,9.41199e-02
3531.405,1.60317e+00,9.15692e-02
3533.939,1.59166e+00,8.56951e-02
3536.472,1.72311e+00,8.63177e-02
3539.006,1.61074e+00,8.34778e-02
3541.540,1.47398e+00,9.02166e-02
3544.073,1.35284e+00,8.87543e-02
3546.607,1.58687e+00,8.95501e-02
3549.141,1.50983e+00,8.15945e-02
3551.675,1.43631e+00,8.09211e-02
3554.208,1.51631e+00,8.67428e-02
3556.742,1.46929e+00,9.05146e-02
3559.276,1.53272e+00,8.49201e-02
3561.810,1.60129e+00,8.08963e-02
3564.343,1.61227e+00,8.03170e-02
3566.877,1.45789e+00,7.87698e-02
3569.411,1.56453e+00,8.47774e-02
3571.944,1.53665e+00,8.16099e-02
3574.478,1.67769e+00,7.81127e-02
3577.012,1.73224e+00,7.78083e-02
3579.546,1.59598e+00,7.85643e-02
3582.079,1.42860e+00,8.01041e-02
3584.613,1.61296e+00,8.36543e-02
3587.147,1.51972e+00,7.49967e-02
3589.681,1.58858e+00,7.28847e-02
3592.214,1.49422e+00,7.22039e-02
3594.748,1.53519e+00,7.76050e-02
3597.282,1.40896e+00,7.71198e-02
3599.816,1.36504e+00,7.21364e-02
3602.349,1.52034e+00,7.04103e-02
3604.883,1.52848e+00,7.01189e-02
3607.417,1.41573e+00,7.00735e-02
3609.950,1.51063e+00,7.55463e-02
3612.484,1.65977e+00,7.67309e-02
3615.018,1.56796e+00,7.08355e-02
3617.552,1.65955e+00,7.12917e-02
3620.085,1.54070e+00,7.12511e-02
3622.619,1.43221e+00,7.40972e-02
3625.153,1.41400e+00,7.31245e-02
3627.687,1.61966e+00,7.11700e-02
3630.220,1.61963e+00,6.82041e-02
3632.754,1.52393e+00,6.83167e-02
3635.288,1.69039e+00,7.56898e-02
3637.822,1.52203e+00,7.37712e-02
3640.355,1.54188e+00,6.91926e-02
3642.889,1.46472e+00,6.44430e-02
3645.423,1.48391e+00,6.59999e-02
3647.956,1.55678e+00,7.13490e-02
3650.490,1.53120e+00,7.59593e-02
3653.024,1.57233e+00,7.37427e-02
3655.558,1.49914e+00,6.62742e-02
3658.091,1.53972e+00,6.44358e-02
3660.625,1.47972e+00,6.58908e-02
3663.159,1.47121e+00,7.01276e-02
3665.693,1.54188e+00,6.92292e-02
3668.226,1.46856e+00,6.11421e-02
3670.760,1.40814e+00,5.83895e-02
3673.294,1.43748e+00,5.97076e-02
3675.827,1.47423e+00,6.50187e-02
3678.361,1.48559e+00,6.50752e-02
3680.895,1.54501e+00,6.05205e-02
3683.429,1.54236e+00,5.80796e-02
3685.962,1.51729e+00,5.78617e-02
3688.496,1.48476e+00,6.10360e-02
3691.030,1.43448e+00,6.33895e-02
3693.564,1.60927e+00,6.24635e-02
3696.097,1.47550e+00,5.65195e-02
3698.631,1.52801e+00,5.80409e-02
3701.165,1.48178e+00,6.03995e-02
3703.699,1.50570e+00,6.31576e-02
3706.232,1.47415e+00,6.09797e-02
3708.766,1.34111e+00,5.49939e-02
3711.300,1.39659e+00,5.44508e-02
3713.833,1.45318e+00,5.74136e-02
3716.367,1.35192e+00,5.89402e-02
3718.901,1.34766e+00,5.79754e-02
3721.435,1.46127e+00,5.52226e-02
3723.968,1.54738e+00,5.41740e-02
3726.502,1.54550e+00,5.53582e-02
3729.036,1.48444e+00,5.87668e-02
3731.570,1.57180e+00,6.07170e-02
3734.103,1.64606e+00,5.92576e-02
3736.637,1.44304e+00,5.34187e-02
3739.171,1.52926e+00,5.59392e-02
3741.705,1.49559e+00,5.75068e-02
3744.238,1.39915e+00,5.78077e-02
3746.772,1.52352e+00,5.68825e-02
3749.306,1.43036e+00,5.13455e-02
3751.839,1.50977e+00,5.20192e-02
3754.373,1.50727e+00,5.41049e-02
3756.907,1.59152e+00,5.79253e-02
3759.441,1.59121e+00,5.51974e-02
3761.974,1.52217e+00,5.08263e-02
3764.508,1.49587e+00,4.92358e-02
3767.042,1.50322e+00,5.04262e-02
3769.576,1.58775e+00,5.53170e-02
3772.109,1.58788e+00,5.53351e-02
3774.643,1.62459e+00,5.28729e-02
3777.177,1.63073e+00,5.12490e-02
3779.710,1.66602e+00,5.34010e-02
3782.244,1.47196e+00,5.30250e-02
3784.778,1.55612e+00,5.40761e-02
3787.312,1.60259e+00,5.11941e-02
3789.845,1.53629e+00,4.79318e-02
3792.379,1.61340e+00,4.87393e-02
3794.913,1.63495e+00,5.13632e-02
3797.447,1.59413e+00,5.26211e-02
3799.980,1.57939e+00,5.06952e-02
3802.514,1.58012e+00,4.73275e-02
3805.048,1.54506e+00,4.63674e-02
3807.582,1.59709e+00,4.85262e-02
3810.115,1.60251e+00,5.20272e-02
3812.649,1.63021e+00,5.20968e-02
3815.183,1.57320e+00,4.73941e-02
3817.716,1.47747e+00,4.50616e-02
3820.250,1.58075e+00,4.68722e-02
3822.784,1.64375e+00,4.98636e-02
3825.318,1.54015e+00,4.95401e-02
3827.851,1.60780e+00,4.79841e-02
3830.385,1.57876e+00,4.59103e-02
3832.919,1.55634e+00,4.62409e-02
3835.453,1.51616e+00,4.77312e-02
3837.986,1.49538e+00,4.88810e-02
3840.520,1.51717e+00,4.71415e-02
3843.054,1.46376e+00,4.38066e-02
3845.588,1.48292e+00,4.35629e-02
3848.121,1.46339e+00,4.49354e-02
3850.655,1.44022e+00,4.67614e-02
3853.189,1.50891e+00,4.64715e-02
3855.722,1.48081e+00,4.29068e-02
3858.256,1.51482e+00,4.22310e-02
3860.790,1.46480e+00,4.25142e-02
3863.324,1.50716e+00,4.60943e-02
3865.857,1.42326e+00,4.53856e-02
3868.391,1.50887e+00,4.25287e-02
3870.925,1.42177e+00,4.00996e-02
3873.459,1.43534e+00,4.08489e-02
3875.992,1.37789e+00,4.28467e-02
3878.526,1.44367e+00,4.46008e-02
3881.060,1.41960e+00,4.19162e-02
3883.593,1.32913e+00,3.91247e-02
3886.127,1.35727e+00,4.08253e-02
3888.661,1.35739e+00,4.00555e-02
3891.195,1.39173e+00,4.29019e-02
3893.728,1.40764e+00,4.21190e-02
3896.262,1.42798e+00,3.97043e-02
3898.796,1.34091e+00,3.83068e-02
3901.330,1.41073e+00,4.04565e-02
3903.863,1.35997e+00,4.29372e-02
3906.397,1.38734e+00,4.40291e-02
3908.931,1.43658e+00,4.16567e-02
3911.465,1.41589e+00,4.02329e-02
3913.998,1.45678e+00,4.10507e-02
3916.532,1.44104e+00,4.26716e-02
3919.066,1.35958e+00,4.14933e-02
3921.599,1.36817e+00,3.92220e-02
3924.133,1.30244e+00,3.65216e-02
3926.667,1.29769e+00,3.60002e-02
3929.201,1.36858e+00,3.84920e-02
3931.734,1.34068e+00,3.92439e-02
3934.268,1.34642e+00,3.81141e-02
3936.802,1.36184e+00,3.61586e-02
3939.336,1.40675e+00,3.66340e-02
3941.869,1.35641e+00,3.76862e-02
3944.403,1.37033e+00,4.04806e-02
3946.937,1.32872e+00,3.95630e-02
3949.471,1.33296e+00,3.65399e-02
3952.004,1.29352e+00,3.51935e-02
3954.538,1.33920e+00,3.62974e-02
3957.072,1.36531e+00,3.94572e-02
3959.605,1.34938e+00,3.92743e-02
3962.139,1.34347e+00,3.68279e-02
3964.673,1.35098e+00,3.48820e-02
3967.207,1.31508e+00,3.44847e-02
3969.740,1.34323e+00,3.69964e-02
3972.274,1.36708e+00,3.83726e-02
3974.808,1.37427e+00,3.71613e-02
3977.342,1.39069e+00,3.53117e-02
3979.875,1.44207e+00,3.57791e-02
3982.409,1.31275e+00,3.57996e-02
3984.943,1.29189e+00,3.73032e-02
3987.477,1.16083e+00,3.48972e-02
3990.010,1.18398e+00,3.29120e-02
3992.544,1.26464e+00,3.31168e-02
3995.078,1.34478e+00,3.49444e-02
3997.611,1.38592e+00,3.80084e-02
4000.145,1.28626e+00,3.69396e-02
4002.679,1.37104e+00,3.47854e-02
4005.213,1.32771e+00,3.31487e-02
4007.746,1.30195e+00,3.38733e-02
4010.280,1.27434e+00,3.60390e-02
4012.814,1.30008e+00,3.70673e-02
4015.348,1.32630e+00,3.45752e-02
4017.881,1.30146e+00,3.30367e-02
4020.415,1.21247e+00,3.25790e-02
4022.949,1.21275e+00,3.47195e-02
4025.482,1.25651e+00,3.59231e-02
4028.016,1.25609e+00,3.43832e-02
4030.550,1.34000e+00,3.31133e-02
4033.084,1.32658e+00,3.26532e-02
4035.617,1.31822e+00,3.38556e-02
4038.151,1.33592e+00,3.63285e-02
4040.685,1.35993e+00,3.60884e-02
4043.219,1.31996e+00,3.50867e-02
4045.752,1.32194e+00,3.66770e-02
4048.286,1.30855e+00,3.77110e-02
4050.820,1.26186e+00,3.72613e-02
4053.354,1.36334e+00,3.65021e-02
4055.887,1.32609e+00,3.48472e-02
4058.421,1.27820e+00,3.18200e-02
4060.955,1.24177e+00,3.15223e-02
4063.488,1.31936e+00,3.47172e-02
4066.022,1.26325e+00,3.50735e-02
4068.556,1.17636e+00,3.24389e-02
4071.090,1.28415e+00,3.15824e-02
4073.623,1.31233e+00,3.18208e-02
4076.157,1.27844e+00,3.32831e-02
4078.691,1.30074e+00,3.56003e-02
4081.225,1.32103e+00,3.46226e-02
4083.758,1.31902e+00,3.21173e-02
4086.292,1.26818e+00,3.09755e-02
4088.826,1.28454e+00,3.18541e-02
4091.360,1.30203e+00,3.42606e-02
4093.893,1.29030e+00,3.37515e-02
4096.427,1.32780e+00,3.15234e-02
4098.961,1.33668e+00,3.02464e-02
4101.494,1.32942e+00,3.07708e-02
4104.028,1.32288e+00,3.28098e-02
4106.562,1.32053e+00,3.35843e-02
4109.096,1.28060e+00,3.13041e-02
4111.629,1.33435e+00,3.04900e-02
4114.163,1.34227e+00,3.09241e-02
4116.697,1.31378e+00,3.20830e-02
4119.231,1.38703e+00,3.39285e-02
4121.764,1.38037e+00,3.25545e-02
4124.298,1.37612e+00,3.07463e-02
4126.832,1.36469e+00,3.04268e-02
4129.365,1.39397e+00,3.19658e-02
4131.899,1.39159e+00,3.41097e-02
4134.433,1.37549e+00,3.34397e-02
4136.967,1.33773e+00,3.08569e-02
4139.500,1.38914e+00,3.03919e-02
4142.034,1.40263e+00,3.11787e-02
4144.568,1.40754e+00,3.32962e-02
4147.102,1.41506e+00,3.35574e-02
4149.635,1.43796e+00,3.17132e-02
4152.169,1.43594e+00,3.03202e-02
4154.703,1.53432e+00,3.17330e-02
4157.237,1.44037e+00,3.27806e-02
4159.770,1.43886e+00,3.38805e-02
4162.304,1.38152e+00,3.19573e-02
4164.838,1.38098e+00,3.05589e-02
4167.371,1.37672e+00,3.02461e-02
4169.905,1.41818e+00,3.21104e-02
4172.439,1.47222e+00,3.41130e-02
4174.973,1.41762e+00,3.26748e-02
4177.506,1.39377e+00,3.05327e-02
4180.040,1.38599e+00,2.98467e-02
4182.574,1.33165e+00,3.03177e-02
4185.108,1.30133e+00,3.22474e-02
4187.641,1.32055e+00,3.21190e-02
4190.175,1.29753e+00,2.97038e-02
4192.709,1.31888e+00,2.91065e-02
4195.243,1.32460e+00,2.95307e-02
4197.776,1.35304e+00,3.15671e-02
4200.310,1.26245e+00,3.14756e-02
4202.844,1.26317e+00,2.98161e-02
4205.377,1.22404e+00,2.83391e-02
4207.911,1.17233e+00,2.79041e-02
4210.445,1.18274e+00,2.95649e-02
4212.979,1.20806e+00,3.09549e-02
4215.512,1.24246e+00,3.01860e-02
4218.046,1.23598e+00,2.83081e-02
4220.580,1.25643e+00,2.82196e-02
4223.114,1.21094e+00,2.87869e-02
4225.647,1.22906e+00,3.07398e-02
4228.181,1.17580e+00,2.99446e-02
4230.715,1.20704e+00,2.82229e-02
4233.248,1.15003e+00,2.71216e-02
4235.782,1.18413e+00,2.83207e-02
4238.316,1.14572e+00,2.98438e-02
4240.850,1.14117e+00,3.01214e-02
4243.383,1.15249e+00,2.82181e-02
4245.917,1.19873e+00,2.79460e-02
4248.451,1.20640e+00,2.83386e-02
4250.985,1.14992e+00,2.94719e-02
4253.518,1.16517e+00,3.03043e-02
4256.052,1.14510e+00,2.86225e-02
4258.586,1.10378e+00,2.69271e-02
4261.120,1.10325e+00,2.67329e-02
