# INSTRUMENT_ID: 17
# OBS_GROUP_ID: 55
# UNIT_ID: None
# RA: 210.913520833
# DEC: 54.3089027778
# OBS_DATE: 2023-06-25 07:38:25+00:00
# REDSHIFT: 0.000804
# REDSHIFT_ERR: None
# REDSHIFT_QUALITY: None
# SPEC_PLOT_FILE: None
# SPEC_DATA_FILE: None
# SPECTRUM_NOTES: None
# REFERENCE: None
# TRANSIENT_ID: 131959
# FOLLOWUP_ID: None
# SPEC_PHASE: None
# RLAP: None
# SNID_PLOT_FILE: None

wavelength,flux,fluxerr
3294.000,3.37413e+05,-9.90000e+01
3296.288,3.18108e+05,-9.90000e+01
3298.576,3.29342e+05,-9.90000e+01
3300.864,3.38535e+05,-9.90000e+01
3303.152,3.15563e+05,-9.90000e+01
3305.440,3.22115e+05,-9.90000e+01
3307.729,2.98660e+05,-9.90000e+01
3310.017,2.99664e+05,-9.90000e+01
3312.305,3.32585e+05,-9.90000e+01
3314.593,2.95638e+05,-9.90000e+01
3316.881,3.13348e+05,-9.90000e+01
3319.169,3.21679e+05,-9.90000e+01
3321.457,3.78508e+05,-9.90000e+01
3323.745,3.94361e+05,-9.90000e+01
3326.033,3.33128e+05,-9.90000e+01
3328.321,3.09226e+05,-9.90000e+01
3330.609,4.38645e+05,-9.90000e+01
3332.898,4.26042e+05,-9.90000e+01
3335.186,4.21938e+05,-9.90000e+01
3337.474,3.83038e+05,-9.90000e+01
3339.762,3.78715e+05,-9.90000e+01
3342.050,4.10242e+05,-9.90000e+01
3344.338,3.64635e+05,-9.90000e+01
3346.626,3.91917e+05,-9.90000e+01
3348.914,4.21054e+05,-9.90000e+01
3351.202,3.03558e+05,-9.90000e+01
3353.490,3.36770e+05,-9.90000e+01
3355.778,4.09861e+05,-9.90000e+01
3358.067,2.96207e+05,-9.90000e+01
3360.355,2.75047e+05,-9.90000e+01
3362.643,2.80180e+05,-9.90000e+01
3364.931,3.39816e+05,-9.90000e+01
3367.219,3.75660e+05,-9.90000e+01
3369.507,3.52199e+05,-9.90000e+01
