source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val
69886853143994496,56.09274788741554,0.0552697199871988,25.248138053273156,0.03676697782445844,1.8202830848902096,0.0605827681785674,-3.711981993983742,-4.938726534729504,15.569277,15.514761,15.547225,-0.032464027,,,NOT_AVAILABLE,8725.667,,,
69828574730991104,56.0517402920591,0.12908347959309266,24.972771121423662,0.08175458376297748,1.77415610765104,0.13896678129727605,13.574055234741136,-24.43283224852127,17.24436,18.341148,16.187065,2.1540833,,,NOT_AVAILABLE,,,,
69886028510273536,56.124223953683014,0.04178284791764735,25.23271908754069,0.02463043593252016,0.5881554841115526,0.04685837723781122,1.4620825144240281,2.172974237925534,15.3442745,15.747316,14.762608,0.9847088,,,NOT_AVAILABLE,5249.5,0.8867,1.554725,1.6537644
69862938766043648,56.509388307884414,0.07770139443961341,25.360821069623835,0.047299575062156,1.413928582018256,0.08823936977560204,21.940660632154298,-14.075589243022165,16.593723,17.45442,15.667029,1.7873907,,,NOT_AVAILABLE,4036.25,1.2875,0.7654318,0.14009413
69830468813368576,56.05781330720714,0.0994968508696089,25.017051833723762,0.06134054769410372,1.6039531958102786,0.10697533283353043,19.06662991638209,-18.41093460181856,16.896387,17.695042,16.00649,1.688551,,,NOT_AVAILABLE,4257.0,0.371,,
69820745007392768,56.33840131968797,0.0277202143946172,24.989985985804296,0.016088645398511205,1.6792573907352004,0.030564430632065785,4.81041615760654,-15.521335368011599,13.961323,14.430568,13.3330765,1.0974913,,,NOT_AVAILABLE,4933.43,0.5983,1.2014089,0.770322
69814869492151552,56.40457265673144,0.051076461621995105,24.82485757917893,0.027032190210953634,1.1673835876743301,0.05459786159001609,8.610720371066215,-7.468924357257893,15.433402,15.938289,14.762867,1.1754217,,,NOT_AVAILABLE,4894.0,0.4633,0.89582074,0.41475612
69902624263912576,55.88835598358058,0.14278865121480724,25.306728080242284,0.09460071938052592,1.744350509941143,0.15611940671636104,12.080496762279939,-9.03745242936555,17.893763,19.095095,16.77261,2.322485,,,NOT_AVAILABLE,,,,
69832049361319552,56.07755350658451,0.03959957721772112,25.092976193606592,0.024325034777829987,0.7924784048690957,0.044075018441897255,-0.5401876495089808,-4.441094803284235,15.047484,15.482198,14.435473,1.0467243,,,NOT_AVAILABLE,5084.965,0.694,1.4298443,1.2314705
69836584846785664,56.15582740541534,0.08584868224961202,25.04320972492968,0.05774036442447535,1.3500299315935806,0.09622980858172253,-0.7252422857946046,-12.073749634218393,16.768923,17.619047,15.8271265,1.7919207,,,NOT_AVAILABLE,4052.505,1.0457,0.72975934,0.12940416
69854104017407616,56.84907846826912,0.14798750549905776,25.343904738251343,0.07655940601367461,2.0645716468660806,0.16534018849170745,2.2737385894265887,-16.4338122668548,17.272612,18.331509,16.205938,2.1255703,,,NOT_AVAILABLE,,,,
69888261893264512,56.11773208015651,0.11667753493673802,25.26045609459779,0.06732313767350982,5.299932654681416,0.13475373568203988,11.147863790933153,-16.382649616965153,16.961142,18.474533,15.737496,2.7370367,,,NOT_AVAILABLE,4042.77,0.134,,
69821397842415872,56.43978978774277,0.03724843839654139,24.98747475115385,0.022742567332522404,0.7914034216096442,0.03767195753342673,7.745107183381606,0.3060413594634857,11.352838,12.004973,10.602241,1.4027328,23.41676479081133,0.29112703837001613,NOT_AVAILABLE,4628.607,0.3535,10.059188,41.8429
69867847912758272,56.591825976620804,0.1479650907202486,25.35235793518305,0.08136542329321768,2.1188738278553374,0.16510804066987608,2.149560071514063,-8.070737905543986,17.461224,18.710241,16.345772,2.3644695,,,NOT_AVAILABLE,,,,
69837581279183360,56.21743338947769,0.1114830391960105,25.132926024184624,0.07611912196178272,3.544487343924382,0.12495633030712745,-55.80112871579528,-24.198504904738158,17.191128,18.644499,15.96216,2.6823387,,,NOT_AVAILABLE,,,,
