JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2414940.58,9.41,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414945.50,9.52,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414948.54,9.53,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414951.58,9.8,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414956.54,9.90,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414962.58,9.98,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414967.50,9.98,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414974.50,10.26,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414979.50,10.28,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414984.50,10.35,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2414993.54,10.31,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415008.50,10.60,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415016.50,10.77,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415022.50,11.00,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
2415042.50,<10.40,,,Vis.,PJA,,NA,,NA,P140;YERKES NON-HARVARD PHOTOMETRY,,,Z,,,,SX CYG,AAVSO,STD,,1906rspd.book.....P,PKV,
