Frequency (GHz)      Flux (Jy)
     42.3048852      0.0077279
     42.3051352     -0.0049057
     42.3053852     -0.0079219
     42.3056352      0.0249352
     42.3058852      0.0362293
     42.3061352     -0.0194255
     42.3063852     -0.0170697
     42.3066352      0.0164529
     42.3068852      0.0341065
     42.3071352      0.0072621
     42.3073852     -0.0117732
     42.3076352     -0.0215070
     42.3078852     -0.0057930
     42.3081352      0.0165930
     42.3083852      0.0889305
     42.3086352     -0.0355236
     42.3088852     -0.0050518
     42.3091352     -0.0053150
     42.3093852     -0.0088187
     42.3096352     -0.0133628
     42.3098852     -0.0076144
     42.3101352     -0.0322997
     42.3103852     -0.0513304
     42.3106352      0.0152709
     42.3108852     -0.0160201
     42.3111352     -0.0024525
     42.3113852      0.0258200
     42.3116352     -0.0119501
     42.3118852     -0.0490585
     42.3121352     -0.0559876
     42.3123852     -0.0871192
     42.3126352      0.0202676
     42.3128852     -0.0613792
     42.3131352      0.0433474
     42.3133852     -0.0252790
     42.3136352     -0.0211850
     42.3138852     -0.0070846
     42.3141352      0.0183254
     42.3143852      0.0397196
     42.3146352     -0.0806375
     42.3148852     -0.0041102
     42.3151352      0.0182019
     42.3153852      0.0310227
     42.3156352     -0.0054035
     42.3158852     -0.0033415
     42.3161352     -0.0218801
     42.3163852     -0.0613987
     42.3166352     -0.0105139
     42.3168852      0.0078997
     42.3171352      0.0430709
     42.3173852      0.0404829
     42.3176352     -0.0258876
     42.3178852     -0.0250172
     42.3181352      0.0905649
     42.3183852      0.0432936
     42.3186352     -0.0222296
     42.3188852      0.0495225
     42.3191352     -0.0230577
     42.3193852     -0.0037631
     42.3196352      0.0272751
     42.3198852     -0.0164512
     42.3201352      0.0005988
     42.3203852      0.0521136
     42.3206352      0.0308719
     42.3208852      0.0163843
     42.3211352     -0.0049635
     42.3213852     -0.0700884
     42.3216352     -0.0026109
     42.3218852      0.0155059
     42.3221352      0.0503988
     42.3223852     -0.0053774
     42.3226352      0.0309114
     42.3228852     -0.0441306
     42.3231352     -0.0089688
     42.3233852      0.0091729
     42.3236352      0.0326287
     42.3238852      0.0704762
     42.3241352      0.0193176
     42.3243852     -0.0079639
     42.3246352      0.0134895
     42.3248852     -0.0105382
     42.3251352      0.0400227
     42.3253852      0.0404245
     42.3256352     -0.0262444
     42.3258852     -0.0337207
     42.3261352     -0.0164020
     42.3263852     -0.0019472
     42.3266352      0.0684602
     42.3268852     -0.0600888
