JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458334.83033,13.08,.019,,V,BDQ,,000-BMS-487,000-BMS-490,X23175ASU,,0,,Z,12.655,14.159,,V353 VUL,AAVSO,STD,,,,
2458336.58785,17.863,0.100,,V,SDM,,ENSEMBLE,134,X23134AJP,8 - 60 SECOND EXPOSURES ADDED,0,1.16,Z,,13.394,,V0353 VUL,AAVSO,STD,,,,
2458343.67061,17.314,0.198,,V,KNAA,,148,137,X23173ED,,1,1.164,Z,-6.432,-7.927,,V353 VUL,AAVSO,STD,,,,
2458343.67219,15.106,0.043,,R,KNAA,,148,137,X23173ED,,1,1.158,Z,-7.409,-8.443,,V353 VUL,AAVSO,STD,,,,
2458370.71086,15.415,0.035,,R,KNAA,,148,137,X23173ED,,0,1.029,Z,-7.579,-8.545,,V0353 VUL,AAVSO,STD,1,,,
2458380.70197,<17.057,0.200,,V,KNAA,,148,137,X23173ED,,0,1.049,Z,-6.604,-8.002,,V0353 VUL,AAVSO,STD,3,,,
2458380.70645,15.556,0.025,,R,KNAA,,148,137,X23173ED,,0,1.056,Z,-7.580,-8.557,,V0353 VUL,AAVSO,STD,4,,,
2458385.38321,17.527,0.098,,V,RZD,,ENSEMBLE,,X23318ALM,,0,1.050,Z,,,,V353 VUL,AAVSO,STD,,,,
2458396.54373,<18.2,0.3,,V,DKS,,000-BMS-489,000-BMS-490,X23379EXQ,,0,1.018,Z,13.655,14.270,,V0353 VUL,AAVSO,STD,,,,
2458406.62728,16.990,0.127,,V,KNAA,,000-BMS-488,000-BMS-489,X23379HJO,|VMAGINS=-4.329|VERR=0.117|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1480|TV_VRERR=0.0270|TAVER=2.49,1,1.045,Z,-8.196,-7.963,,V0353 VUL,AAVSO,STD,103,,,
2458406.63097,14.873,0.064,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.361|VERR=0.031|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.1710|TR_VRERR=0.0300|TAVER=2.49,1,1.050,Z,-8.573,-8.511,,V0353 VUL,AAVSO,STD,103,,,
2458415.58959,<16.391,0.270,,V,DDJ,,137,127,X23407DOE,"""\""Mark Slade Remote Observatory (MSRO) W54, Wilderness, Virginia""",0,1.404,Z,13.655,12.624,,V0353 Vul,AAVSO,STD,,,,
2458416.63462,<16.561,0.151,,V,KNAA,,134,137,X23173ED,,0,1.110,Z,-8.183,-7.956,,V0353 VUL,AAVSO,STD,3,,,
2458416.64177,15.116,0.024,,R,KNAA,,134,137,X23173ED,,0,1.130,Z,-8.636,-8.548,,V0353 VUL,AAVSO,STD,3,,,
2458422.50870,17.976,0.163,,V,DKS,,000-BMS-489,000-BMS-490,X23379EXQ,ERROR: V+C POISSON;,0,1.073,Z,13.655,14.262,,V0353 VUL,AAVSO,STD,,,,
2458431.67690,17.305,0.206,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-3.886|VERR=0.193|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1480|TV_VRERR=0.0270|TAVER=2.49,1,1.560,Z,-8.167,-7.971,,V0353 VUL,AAVSO,STD,3109,,,
2458431.68405,14.519,0.085,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.600|VERR=0.027|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.1710|TR_VRERR=0.0300|TAVER=2.49,1,1.634,Z,-8.572,-8.486,,V0353 VUL,AAVSO,STD,3109,,,
