Frequency (GHz)      Flux (Jy)
     42.3048852      0.0217674
     42.3051352     -0.0135185
     42.3053852     -0.0012064
     42.3056352     -0.0135098
     42.3058852      0.0069854
     42.3061352      0.0168995
     42.3063852      0.0034233
     42.3066352      0.0112245
     42.3068852      0.0238999
     42.3071352      0.0185986
     42.3073852      0.0262872
     42.3076352      0.0256066
     42.3078852      0.0242935
     42.3081352      0.0148296
     42.3083852      0.0418029
     42.3086352     -0.0112438
     42.3088852     -0.0160411
     42.3091352     -0.0062232
     42.3093852      0.0087821
     42.3096352      0.0121675
     42.3098852     -0.0164020
     42.3101352      0.0159552
     42.3103852      0.0335126
     42.3106352      0.0186104
     42.3108852     -0.0217177
     42.3111352      0.0015057
     42.3113852      0.0150660
     42.3116352     -0.0053640
     42.3118852     -0.0026520
     42.3121352     -0.0037576
     42.3123852      0.0238635
     42.3126352      0.0104610
     42.3128852     -0.0281544
     42.3131352     -0.0020414
     42.3133852     -0.0168147
     42.3136352     -0.0045612
     42.3138852     -0.0061215
     42.3141352     -0.0023943
     42.3143852     -0.0042530
     42.3146352     -0.0389146
     42.3148852      0.0048073
     42.3151352      0.0275766
     42.3153852      0.0163526
     42.3156352      0.0184290
     42.3158852      0.0011526
     42.3161352     -0.0062000
     42.3163852      0.0221828
     42.3166352      0.0219776
     42.3168852      0.0432799
     42.3171352     -0.0060942
     42.3173852     -0.0288433
     42.3176352      0.0054675
     42.3178852     -0.0179002
     42.3181352     -0.0181657
     42.3183852      0.0123569
     42.3186352     -0.0486443
     42.3188852     -0.0238975
     42.3191352     -0.0347821
     42.3193852      0.0032653
     42.3196352      0.0209804
     42.3198852      0.0005585
     42.3201352      0.0085127
     42.3203852     -0.0278915
     42.3206352      0.0278082
     42.3208852     -0.0329232
     42.3211352      0.0039924
     42.3213852      0.0281197
     42.3216352      0.0198458
     42.3218852     -0.0147092
     42.3221352     -0.0083556
     42.3223852      0.0047091
     42.3226352     -0.0112013
     42.3228852     -0.0074713
     42.3231352      0.0035248
     42.3233852      0.0220530
     42.3236352      0.0070238
     42.3238852      0.0157179
     42.3241352     -0.0343888
     42.3243852     -0.0004455
     42.3246352      0.0026724
     42.3248852      0.0257605
     42.3251352      0.0161021
     42.3253852     -0.0388670
     42.3256352      0.0084220
     42.3258852      0.0017921
     42.3261352     -0.0299349
     42.3263852      0.0380510
     42.3266352      0.0004050
     42.3268852     -0.0241982
     42.3271352     -0.0087327
     42.3273852     -0.0158483
