JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458331.42080,15.342,0.008,,CV,FRGA,,139,,X23129LL,,0,1.093,Z,-14.942,,2458331.42399,V1655 CYG,AAVSO,STD,,,,
2458331.42250,15.336,0.007,,CV,FRGA,,139,,X23129LL,,0,1.089,Z,-15.022,,2458331.42569,V1655 CYG,AAVSO,STD,,,,
2458331.42422,15.330,0.007,,CV,FRGA,,139,,X23129LL,,0,1.085,Z,-15.034,,2458331.42741,V1655 CYG,AAVSO,STD,,,,
2458331.42592,15.324,0.007,,CV,FRGA,,139,,X23129LL,,0,1.081,Z,-15.006,,2458331.42911,V1655 CYG,AAVSO,STD,,,,
2458331.42762,15.329,0.007,,CV,FRGA,,139,,X23129LL,,0,1.078,Z,-14.998,,2458331.43081,V1655 CYG,AAVSO,STD,,,,
2458331.42932,15.338,0.007,,CV,FRGA,,139,,X23129LL,,0,1.074,Z,-15.027,,2458331.43251,V1655 CYG,AAVSO,STD,,,,
2458331.43103,15.341,0.007,,CV,FRGA,,139,,X23129LL,,0,1.071,Z,-15.023,,2458331.43422,V1655 CYG,AAVSO,STD,,,,
2458331.43273,15.303,0.007,,CV,FRGA,,139,,X23129LL,,0,1.067,Z,-15.004,,2458331.43592,V1655 CYG,AAVSO,STD,,,,
2458331.43515,15.313,0.007,,CV,FRGA,,139,,X23129LL,,0,1.063,Z,-14.994,,2458331.43834,V1655 CYG,AAVSO,STD,,,,
2458331.43723,15.335,0.007,,CV,FRGA,,139,,X23129LL,,0,1.059,Z,-15.041,,2458331.44042,V1655 CYG,AAVSO,STD,,,,
2458331.43893,15.331,0.007,,CV,FRGA,,139,,X23129LL,,0,1.056,Z,-15.004,,2458331.44212,V1655 CYG,AAVSO,STD,,,,
2458331.44063,15.327,0.007,,CV,FRGA,,139,,X23129LL,,0,1.053,Z,-15.012,,2458331.44382,V1655 CYG,AAVSO,STD,,,,
2458331.44233,15.316,0.007,,CV,FRGA,,139,,X23129LL,,0,1.050,Z,-15.025,,2458331.44552,V1655 CYG,AAVSO,STD,,,,
2458331.44403,15.337,0.008,,CV,FRGA,,139,,X23129LL,,0,1.047,Z,-14.958,,2458331.44722,V1655 CYG,AAVSO,STD,,,,
2458331.44574,15.328,0.007,,CV,FRGA,,139,,X23129LL,,0,1.045,Z,-14.998,,2458331.44893,V1655 CYG,AAVSO,STD,,,,
2458331.44745,15.329,0.008,,CV,FRGA,,139,,X23129LL,,0,1.042,Z,-14.976,,2458331.45064,V1655 CYG,AAVSO,STD,,,,
2458331.44915,15.333,0.007,,CV,FRGA,,139,,X23129LL,,0,1.039,Z,-15.011,,2458331.45234,V1655 CYG,AAVSO,STD,,,,
2458331.45086,15.346,0.009,,CV,FRGA,,139,,X23129LL,,0,1.037,Z,-14.721,,2458331.45405,V1655 CYG,AAVSO,STD,,,,
2458333.46181,<14.1,,,Vis.,OJR,,141,,X23133QB,,,,Z,,,,V1655 CYG,,STD,,,,
2458336.38447,15.286,0.009,,CV,FRGA,,139,,X23129LL,,0,1.156,Z,-14.632,,2458336.38772,V1655 CYG,AAVSO,STD,,,,
2458336.38619,15.296,0.009,,CV,FRGA,,139,,X23129LL,,0,1.151,Z,-14.680,,2458336.38944,V1655 CYG,AAVSO,STD,,,,
2458336.38792,15.279,0.009,,CV,FRGA,,139,,X23129LL,,0,1.145,Z,-14.634,,2458336.39117,V1655 CYG,AAVSO,STD,,,,
2458336.38972,15.275,0.009,,CV,FRGA,,139,,X23129LL,,0,1.140,Z,-14.628,,2458336.39297,V1655 CYG,AAVSO,STD,,,,
2458336.39145,15.293,0.009,,CV,FRGA,,139,,X23129LL,,0,1.135,Z,-14.624,,2458336.39470,V1655 CYG,AAVSO,STD,,,,
2458336.39317,15.275,0.009,,CV,FRGA,,139,,X23129LL,,0,1.130,Z,-14.519,,2458336.39642,V1655 CYG,AAVSO,STD,,,,
2458336.39662,15.296,0.009,,CV,FRGA,,139,,X23129LL,,0,1.120,Z,-14.590,,2458336.39987,V1655 CYG,AAVSO,STD,,,,
2458336.39835,15.296,0.009,,CV,FRGA,,139,,X23129LL,,0,1.115,Z,-14.541,,2458336.40160,V1655 CYG,AAVSO,STD,,,,
2458336.40008,15.264,0.009,,CV,FRGA,,139,,X23129LL,,0,1.111,Z,-14.460,,2458336.40333,V1655 CYG,AAVSO,STD,,,,
2458336.40181,15.227,0.010,,CV,FRGA,,139,,X23129LL,,0,1.106,Z,-14.372,,2458336.40506,V1655 CYG,AAVSO,STD,,,,
2458336.40353,15.181,0.009,,CV,FRGA,,139,,X23129LL,,0,1.102,Z,-14.435,,2458336.40678,V1655 CYG,AAVSO,STD,,,,
2458336.40698,15.234,0.009,,CV,FRGA,,139,,X23129LL,,0,1.094,Z,-14.457,,2458336.41023,V1655 CYG,AAVSO,STD,,,,
2458336.40872,15.206,0.009,,CV,FRGA,,139,,X23129LL,,0,1.089,Z,-14.431,,2458336.41197,V1655 CYG,AAVSO,STD,,,,
2458336.41044,15.206,0.010,,CV,FRGA,,139,,X23129LL,,0,1.086,Z,-14.322,,2458336.41369,V1655 CYG,AAVSO,STD,,,,
2458336.41219,15.199,0.010,,CV,FRGA,,139,,X23129LL,,0,1.082,Z,-14.286,,2458336.41544,V1655 CYG,AAVSO,STD,,,,
2458336.41391,15.227,0.010,,CV,FRGA,,139,,X23129LL,,0,1.078,Z,-14.260,,2458336.41716,V1655 CYG,AAVSO,STD,,,,
2458336.41564,15.186,0.010,,CV,FRGA,,139,,X23129LL,,0,1.074,Z,-14.271,,2458336.41889,V1655 CYG,AAVSO,STD,,,,
2458336.41736,15.182,0.010,,CV,FRGA,,139,,X23129LL,,0,1.071,Z,-14.215,,2458336.42061,V1655 CYG,AAVSO,STD,,,,
2458336.41908,15.186,0.010,,CV,FRGA,,139,,X23129LL,,0,1.067,Z,-14.173,,2458336.42233,V1655 CYG,AAVSO,STD,,,,
2458336.42078,15.214,0.010,,CV,FRGA,,139,,X23129LL,,0,1.064,Z,-14.188,,2458336.42404,V1655 CYG,AAVSO,STD,,,,
2458337.45139,<13.3,,,Vis.,JMA,,13.3,,X23134AWB,,,,Z,,,,V1655 CYG,,STD,,,,
2458339.37449,15.314,0.045,,CV,FRGA,,139,,X23129LL,,0,1.162,Z,-11.049,,2458339.37777,V1655 CYG,AAVSO,STD,,,,
2458339.37768,15.327,0.008,,CV,FRGA,,139,,X23129LL,,0,1.152,Z,-14.748,,2458339.38096,V1655 CYG,AAVSO,STD,,,,
2458339.37938,15.342,0.008,,CV,FRGA,,139,,X23129LL,,0,1.146,Z,-14.786,,2458339.38266,V1655 CYG,AAVSO,STD,,,,
2458339.38108,15.354,0.008,,CV,FRGA,,139,,X23129LL,,0,1.141,Z,-14.773,,2458339.38436,V1655 CYG,AAVSO,STD,,,,
2458339.38277,15.345,0.009,,CV,FRGA,,139,,X23129LL,,0,1.136,Z,-14.712,,2458339.38605,V1655 CYG,AAVSO,STD,,,,
2458339.38447,15.326,0.009,,CV,FRGA,,139,,X23129LL,,0,1.131,Z,-14.674,,2458339.38775,V1655 CYG,AAVSO,STD,,,,
2458339.38617,15.323,0.009,,CV,FRGA,,139,,X23129LL,,0,1.126,Z,-14.656,,2458339.38945,V1655 CYG,AAVSO,STD,,,,
2458339.38787,15.309,0.009,,CV,FRGA,,139,,X23129LL,,0,1.121,Z,-14.669,,2458339.39115,V1655 CYG,AAVSO,STD,,,,
2458339.38957,15.307,0.009,,CV,FRGA,,139,,X23129LL,,0,1.117,Z,-14.629,,2458339.39285,V1655 CYG,AAVSO,STD,,,,
2458339.39299,15.301,0.009,,CV,FRGA,,139,,X23129LL,,0,1.108,Z,-14.605,,2458339.39627,V1655 CYG,AAVSO,STD,,,,
2458339.39469,15.298,0.009,,CV,FRGA,,139,,X23129LL,,0,1.103,Z,-14.614,,2458339.39797,V1655 CYG,AAVSO,STD,,,,
2458339.39639,15.315,0.009,,CV,FRGA,,139,,X23129LL,,0,1.099,Z,-14.535,,2458339.39967,V1655 CYG,AAVSO,STD,,,,
2458339.39810,15.292,0.009,,CV,FRGA,,139,,X23129LL,,0,1.095,Z,-14.506,,2458339.40138,V1655 CYG,AAVSO,STD,,,,
2458339.39980,15.290,0.009,,CV,FRGA,,139,,X23129LL,,0,1.091,Z,-14.521,,2458339.40308,V1655 CYG,AAVSO,STD,,,,
2458339.40149,15.304,0.010,,CV,FRGA,,139,,X23129LL,,0,1.087,Z,-14.447,,2458339.40477,V1655 CYG,AAVSO,STD,,,,
2458339.40489,15.300,0.011,,CV,FRGA,,139,,X23129LL,,0,1.080,Z,-14.036,,2458339.40817,V1655 CYG,AAVSO,STD,,,,
2458349.36941,<14.3,.5,,TG,PJED,,124,109,X23185GJA,average of 3 picture on 60 sec. no signal detected. less than star 143 (mag14.3) detected on picture.,0,,Z,12.54,10.87,,V1655 CYG,AAVSO,STD,,,,
2458349.37243,15.572,0.015,,CV,FRGA,,139,,X23129LL,,0,1.092,Z,-13.691,,2458349.37574,V1655 CYG,AAVSO,STD,,,,
2458349.37321,15.598,0.015,,CV,FRGA,,139,,X23129LL,,0,1.090,Z,-13.776,,2458349.37652,V1655 CYG,AAVSO,STD,,,,
2458349.37398,15.577,0.014,,CV,FRGA,,139,,X23129LL,,0,1.088,Z,-13.801,,2458349.37729,V1655 CYG,AAVSO,STD,,,,
2458349.37476,15.591,0.014,,CV,FRGA,,139,,X23129LL,,0,1.086,Z,-13.839,,2458349.37807,V1655 CYG,AAVSO,STD,,,,
2458349.37554,15.579,0.015,,CV,FRGA,,139,,X23129LL,,0,1.085,Z,-13.742,,2458349.37885,V1655 CYG,AAVSO,STD,,,,
2458349.37632,15.568,0.014,,CV,FRGA,,139,,X23129LL,,0,1.083,Z,-13.854,,2458349.37963,V1655 CYG,AAVSO,STD,,,,
2458349.37709,15.568,0.014,,CV,FRGA,,139,,X23129LL,,0,1.081,Z,-13.907,,2458349.38040,V1655 CYG,AAVSO,STD,,,,
2458349.37787,15.578,0.014,,CV,FRGA,,139,,X23129LL,,0,1.079,Z,-13.888,,2458349.38118,V1655 CYG,AAVSO,STD,,,,
2458349.37865,15.551,0.014,,CV,FRGA,,139,,X23129LL,,0,1.078,Z,-13.871,,2458349.38196,V1655 CYG,AAVSO,STD,,,,
2458349.37942,15.533,0.014,,CV,FRGA,,139,,X23129LL,,0,1.076,Z,-13.788,,2458349.38273,V1655 CYG,AAVSO,STD,,,,
2458349.38019,15.605,0.014,,CV,FRGA,,139,,X23129LL,,0,1.075,Z,-13.900,,2458349.38350,V1655 CYG,AAVSO,STD,,,,
2458349.38096,15.565,0.015,,CV,FRGA,,139,,X23129LL,,0,1.073,Z,-13.757,,2458349.38427,V1655 CYG,AAVSO,STD,,,,
2458349.38174,15.536,0.016,,CV,FRGA,,139,,X23129LL,,0,1.071,Z,-13.593,,2458349.38505,V1655 CYG,AAVSO,STD,,,,
2458349.38251,15.582,0.015,,CV,FRGA,,139,,X23129LL,,0,1.070,Z,-13.681,,2458349.38582,V1655 CYG,AAVSO,STD,,,,
2458349.38329,15.553,0.015,,CV,FRGA,,139,,X23129LL,,0,1.068,Z,-13.762,,2458349.38660,V1655 CYG,AAVSO,STD,,,,
2458349.38405,15.576,0.015,,CV,FRGA,,139,,X23129LL,,0,1.067,Z,-13.721,,2458349.38736,V1655 CYG,AAVSO,STD,,,,
2458349.38484,15.508,0.015,,CV,FRGA,,139,,X23129LL,,0,1.065,Z,-13.635,,2458349.38815,V1655 CYG,AAVSO,STD,,,,
2458349.38561,15.497,0.016,,CV,FRGA,,139,,X23129LL,,0,1.064,Z,-13.483,,2458349.38892,V1655 CYG,AAVSO,STD,,,,
2458349.38793,15.496,0.017,,CV,FRGA,,139,,X23129LL,,0,1.060,Z,-13.339,,2458349.39124,V1655 CYG,AAVSO,STD,,,,
2458349.38870,15.608,0.018,,CV,FRGA,,139,,X23129LL,,0,1.058,Z,-13.415,,2458349.39201,V1655 CYG,AAVSO,STD,,,,
2458349.38947,15.526,0.016,,CV,FRGA,,139,,X23129LL,,0,1.057,Z,-13.493,,2458349.39278,V1655 CYG,AAVSO,STD,,,,
2458349.39025,15.609,0.019,,CV,FRGA,,139,,X23129LL,,0,1.055,Z,-13.202,,2458349.39356,V1655 CYG,AAVSO,STD,,,,
2458349.39103,15.587,0.013,,CV,FRGA,,139,,X23129LL,,0,1.054,Z,-13.965,,2458349.39434,V1655 CYG,AAVSO,STD,,,,
2458349.39181,15.604,0.014,,CV,FRGA,,139,,X23129LL,,0,1.053,Z,-13.925,,2458349.39512,V1655 CYG,AAVSO,STD,,,,
2458349.39258,15.571,0.016,,CV,FRGA,,139,,X23129LL,,0,1.051,Z,-13.635,,2458349.39589,V1655 CYG,AAVSO,STD,,,,
2458349.39336,15.589,0.016,,CV,FRGA,,139,,X23129LL,,0,1.050,Z,-13.583,,2458349.39667,V1655 CYG,AAVSO,STD,,,,
2458349.39413,15.617,0.015,,CV,FRGA,,139,,X23129LL,,0,1.049,Z,-13.793,,2458349.39744,V1655 CYG,AAVSO,STD,,,,
2458349.39491,15.630,0.015,,CV,FRGA,,139,,X23129LL,,0,1.048,Z,-13.834,,2458349.39822,V1655 CYG,AAVSO,STD,,,,
2458349.39568,15.604,0.015,,CV,FRGA,,139,,X23129LL,,0,1.046,Z,-13.726,,2458349.39899,V1655 CYG,AAVSO,STD,,,,
2458349.39646,15.616,0.015,,CV,FRGA,,139,,X23129LL,,0,1.045,Z,-13.752,,2458349.39977,V1655 CYG,AAVSO,STD,,,,
2458349.39725,15.622,0.015,,CV,FRGA,,139,,X23129LL,,0,1.044,Z,-13.840,,2458349.40056,V1655 CYG,AAVSO,STD,,,,
2458349.39801,15.610,0.014,,CV,FRGA,,139,,X23129LL,,0,1.043,Z,-13.964,,2458349.40132,V1655 CYG,AAVSO,STD,,,,
2458349.39880,15.610,0.014,,CV,FRGA,,139,,X23129LL,,0,1.042,Z,-13.944,,2458349.40211,V1655 CYG,AAVSO,STD,,,,
2458349.39957,15.601,0.015,,CV,FRGA,,139,,X23129LL,,0,1.040,Z,-13.805,,2458349.40288,V1655 CYG,AAVSO,STD,,,,
2458349.40035,15.582,0.014,,CV,FRGA,,139,,X23129LL,,0,1.039,Z,-13.916,,2458349.40366,V1655 CYG,AAVSO,STD,,,,
